date,temperature_avg,humidity_avg,wind_speed_max
2025-03-08,7.4,54,9.6
2025-03-09,10.2,52,18.2
2025-03-10,11.9,52,14.9
2025-03-11,10.5,67,8.7
2025-03-12,12.8,17,19.2
2025-03-13,11.9,28,17.7
2025-03-14,8.5,30,12.2
2025-03-15,4.1,55,16.2
2025-03-16,2.1,32,17.7
2025-03-17,4.3,27,28.0
2025-03-18,6.8,30,20.7
2025-03-19,12.5,22,12.9
2025-03-20,15.8,15,18.1
2025-03-21,19.6,16,16.0
2025-03-22,21.2,10,14.2
2025-03-23,21.3,7,15.9
2025-03-24,16.9,19,23.5
2025-03-25,15.0,22,28.2
2025-03-26,12.4,31,19.4
2025-03-27,11.0,14,20.8
2025-03-28,6.0,16,20.6
2025-03-29,5.9,14,21.8
2025-03-30,8.2,18,15.5
2025-03-31,12.3,21,13.2
2025-04-01,14.5,18,22.0
2025-04-02,13.3,19,13.5
2025-04-03,14.3,26,15.7
2025-04-04,14.6,28,27.0
2025-04-05,15.3,13,16.7
2025-04-06,16.1,19,12.3
2025-04-07,17.8,22,20.8
2025-04-08,16.8,18,16.5
