date,temperature_avg,humidity_avg,wind_speed_max
2025-03-08,8.7,63,13.1
2025-03-09,8.3,72,10.7
2025-03-10,7.5,77,8.8
2025-03-11,4.8,88,7.8
2025-03-12,5.3,86,8.5
2025-03-13,4.4,80,11.8
2025-03-14,4.4,79,9.4
2025-03-15,3.9,85,10.6
2025-03-16,3.4,77,13.2
2025-03-17,2.5,62,17.7
2025-03-18,1.6,53,9.0
2025-03-19,3.6,52,6.6
2025-03-20,6.5,65,8.1
2025-03-21,8.8,62,15.3
2025-03-22,8.5,60,20.7
2025-03-23,9.5,65,18.3
2025-03-24,10.2,78,7.2
2025-03-25,8.8,80,12.1
2025-03-26,7.9,80,15.3
2025-03-27,6.4,84,10.0
2025-03-28,7.7,79,9.8
2025-03-29,8.9,75,17.7
2025-03-30,5.8,82,19.8
2025-03-31,7.2,81,19.6
2025-04-01,8.0,73,15.4
2025-04-02,8.4,75,14.4
2025-04-03,10.4,68,10.7
2025-04-04,12.6,71,10.3
2025-04-05,6.7,62,22.1
2025-04-06,3.6,58,18.4
2025-04-07,7.3,57,16.3
2025-04-08,8.3,62,7.8
