date,temperature_avg,humidity_avg,wind_speed_max
2025-03-08,18.0,60,9.9
2025-03-09,18.9,50,17.9
2025-03-10,20.7,40,14.6
2025-03-11,21.1,40,11.8
2025-03-12,21.0,57,12.0
2025-03-13,23.6,39,10.5
2025-03-14,25.5,31,13.0
2025-03-15,24.2,41,15.3
2025-03-16,25.8,42,10.8
2025-03-17,27.4,33,19.5
2025-03-18,23.6,47,16.4
2025-03-19,19.4,56,22.7
2025-03-20,16.0,44,23.3
2025-03-21,15.8,45,17.6
2025-03-22,15.8,49,12.2
2025-03-23,16.7,46,14.7
2025-03-24,18.9,47,16.3
2025-03-25,21.7,47,14.8
2025-03-26,24.4,40,12.0
2025-03-27,26.6,39,10.2
2025-03-28,26.0,29,17.4
2025-03-29,20.4,52,17.8
2025-03-30,21.6,39,11.0
2025-03-31,24.9,18,16.5
2025-04-01,23.6,24,16.6
2025-04-02,23.0,29,11.3
2025-04-03,22.5,34,15.7
2025-04-04,21.0,48,13.6
2025-04-05,22.8,42,10.0
2025-04-06,24.7,32,18.4
2025-04-07,23.0,47,14.9
2025-04-08,26.7,34,20.9
