date,temperature_avg,humidity_avg,wind_speed_max
2025-03-08,28.8,20,13.9
2025-03-09,25.9,38,20.5
2025-03-10,25.3,56,17.1
2025-03-11,27.0,42,17.8
2025-03-12,26.0,54,13.0
2025-03-13,23.4,69,16.8
2025-03-14,22.3,75,12.3
2025-03-15,23.0,74,14.7
2025-03-16,24.9,50,13.7
2025-03-17,24.1,63,16.6
2025-03-18,22.7,71,14.9
2025-03-19,22.7,61,11.7
2025-03-20,23.7,58,12.9
2025-03-21,27.5,36,16.6
2025-03-22,28.1,27,16.5
2025-03-23,27.0,38,16.2
2025-03-24,23.7,69,22.7
2025-03-25,21.6,59,25.3
2025-03-26,21.8,62,16.8
2025-03-27,21.9,70,15.9
2025-03-28,23.9,60,12.3
2025-03-29,24.9,47,13.3
2025-03-30,25.7,54,13.0
2025-03-31,26.8,44,13.7
2025-04-01,25.8,46,13.2
2025-04-02,25.3,49,11.9
2025-04-03,26.6,53,17.6
2025-04-04,29.9,26,14.0
2025-04-05,30.1,24,15.7
2025-04-06,29.7,28,13.1
2025-04-07,28.6,41,13.8
2025-04-08,28.4,46,16.2
