date,temperature_avg,humidity_avg,wind_speed_max
2025-03-08,16.2,73,9.9
2025-03-09,17.9,82,9.7
2025-03-10,19.8,86,11.2
2025-03-11,21.0,89,16.6
2025-03-12,23.2,88,16.0
2025-03-13,23.4,91,17.2
2025-03-14,24.3,90,18.1
2025-03-15,23.6,84,20.8
2025-03-16,18.4,60,19.0
2025-03-17,17.6,61,12.0
2025-03-18,17.2,58,15.8
2025-03-19,18.0,56,15.1
2025-03-20,18.2,63,10.9
2025-03-21,19.0,63,11.8
2025-03-22,19.6,72,13.3
2025-03-23,20.8,80,14.3
2025-03-24,22.3,78,15.9
2025-03-25,23.8,78,16.7
2025-03-26,24.0,81,18.6
2025-03-27,25.5,83,18.5
2025-03-28,25.4,84,15.1
2025-03-29,17.0,79,22.3
2025-03-30,14.8,69,17.4
2025-03-31,15.2,63,11.3
2025-04-01,17.9,62,8.7
2025-04-02,19.1,73,8.4
2025-04-03,20.2,71,15.9
2025-04-04,21.0,82,20.1
2025-04-05,21.8,84,9.8
2025-04-06,22.8,83,13.0
2025-04-07,22.1,86,12.3
2025-04-08,23.1,88,15.2
