date,temperature_avg,humidity_avg,wind_speed_max
2025-03-08,29.2,68,13.4
2025-03-09,28.7,64,8.8
2025-03-10,29.5,68,15.7
2025-03-11,30.3,60,16.5
2025-03-12,29.9,61,15.8
2025-03-13,29.6,62,17.1
2025-03-14,29.6,63,17.0
2025-03-15,29.3,70,14.7
2025-03-16,29.0,72,17.1
2025-03-17,28.7,71,11.9
2025-03-18,29.2,69,10.4
2025-03-19,30.2,57,12.4
2025-03-20,29.1,54,15.1
2025-03-21,29.4,53,13.5
2025-03-22,29.6,59,13.0
2025-03-23,29.1,61,13.9
2025-03-24,28.5,65,20.1
2025-03-25,27.7,66,15.7
2025-03-26,28.1,67,12.3
2025-03-27,28.5,66,14.0
2025-03-28,28.6,69,14.0
2025-03-29,29.1,70,16.6
2025-03-30,29.8,66,18.1
2025-03-31,28.9,71,10.9
2025-04-01,27.1,85,9.0
2025-04-02,26.5,86,13.0
2025-04-03,27.7,75,11.7
2025-04-04,27.7,73,13.1
2025-04-05,28.0,75,13.9
2025-04-06,28.4,73,14.1
2025-04-07,29.2,66,15.6
2025-04-08,29.5,63,15.1
