date,temperature_avg,humidity_avg,wind_speed_max
2025-03-08,11.2,71,11.2
2025-03-09,11.0,72,11.0
2025-03-10,9.3,79,14.7
2025-03-11,6.5,74,17.2
2025-03-12,4.5,79,10.3
2025-03-13,3.8,82,16.0
2025-03-14,3.7,82,13.3
2025-03-15,4.0,70,18.1
2025-03-16,3.9,74,17.4
2025-03-17,5.9,79,15.7
2025-03-18,5.7,69,14.8
2025-03-19,8.6,72,8.7
2025-03-20,12.4,70,10.4
2025-03-21,13.1,69,14.4
2025-03-22,13.0,82,12.4
2025-03-23,10.9,88,16.0
2025-03-24,9.4,76,12.7
2025-03-25,10.2,82,11.7
2025-03-26,12.0,75,9.3
2025-03-27,10.1,81,11.9
2025-03-28,10.2,72,16.3
2025-03-29,8.7,63,17.6
2025-03-30,12.2,65,20.0
2025-03-31,10.7,62,10.8
2025-04-01,9.2,68,19.8
2025-04-02,11.1,60,22.1
2025-04-03,13.3,61,16.9
2025-04-04,14.9,56,16.3
2025-04-05,11.4,55,18.0
2025-04-06,9.9,54,15.7
2025-04-07,9.3,55,11.8
2025-04-08,9.9,56,11.5
