date,temperature_avg,humidity_avg,wind_speed_max
2025-03-08,10.8,73,6.4
2025-03-09,13.1,64,9.6
2025-03-10,14.1,52,11.0
2025-03-11,12.8,66,16.5
2025-03-12,13.2,78,15.5
2025-03-13,10.8,78,19.8
2025-03-14,8.0,81,14.3
2025-03-15,11.5,71,13.0
2025-03-16,12.6,70,9.1
2025-03-17,12.3,81,12.2
2025-03-18,12.7,59,17.4
2025-03-19,15.1,49,11.5
2025-03-20,16.5,40,13.9
2025-03-21,16.2,51,12.3
2025-03-22,16.9,56,14.5
2025-03-23,16.9,64,9.4
2025-03-24,19.2,62,11.8
2025-03-25,17.0,72,12.9
2025-03-26,14.5,76,12.5
2025-03-27,14.9,75,15.4
2025-03-28,16.0,67,17.0
2025-03-29,15.3,69,12.7
2025-03-30,14.2,71,12.5
2025-03-31,15.2,79,13.7
2025-04-01,13.9,62,19.7
2025-04-02,13.6,51,20.0
2025-04-03,13.6,57,15.5
2025-04-04,14.8,51,21.6
2025-04-05,18.1,34,18.7
2025-04-06,18.6,31,14.8
2025-04-07,18.7,43,11.4
2025-04-08,19.2,51,12.1
