date,temperature_avg,humidity_avg,wind_speed_max
2025-03-08,3.7,74,13.2
2025-03-09,5.7,64,13.2
2025-03-10,4.0,62,12.2
2025-03-11,6.9,72,15.0
2025-03-12,7.6,86,11.8
2025-03-13,7.0,85,16.0
2025-03-14,9.4,78,28.7
2025-03-15,0.4,62,14.1
2025-03-16,0.0,62,12.0
2025-03-17,-1.6,57,16.1
2025-03-18,-2.2,48,8.4
2025-03-19,-0.1,73,20.2
2025-03-20,3.2,63,14.8
2025-03-21,4.6,68,14.4
2025-03-22,1.5,54,13.9
2025-03-23,0.8,44,8.6
2025-03-24,4.2,58,17.0
2025-03-25,4.0,83,17.1
2025-03-26,3.1,86,8.6
2025-03-27,4.9,88,9.1
2025-03-28,6.2,84,6.0
2025-03-29,7.0,76,8.3
2025-03-30,7.3,69,10.1
2025-03-31,9.4,58,12.6
2025-04-01,8.7,68,14.7
2025-04-02,8.6,67,17.8
2025-04-03,8.3,61,12.2
2025-04-04,8.9,58,19.1
2025-04-05,4.1,63,16.3
2025-04-06,-1.8,81,22.2
2025-04-07,-1.2,88,19.2
2025-04-08,-1.4,90,13.5
