date,temperature_avg,humidity_avg,wind_speed_max
2025-03-08,29.1,35,14.9
2025-03-09,28.7,48,15.0
2025-03-10,30.9,35,17.4
2025-03-11,30.6,44,15.4
2025-03-12,30.4,50,14.4
2025-03-13,29.6,62,13.2
2025-03-14,29.4,57,15.0
2025-03-15,29.4,54,15.7
2025-03-16,29.1,53,15.9
2025-03-17,28.8,58,17.3
2025-03-18,28.0,65,15.9
2025-03-19,27.8,64,16.2
2025-03-20,29.2,45,18.0
2025-03-21,28.2,58,18.2
2025-03-22,27.6,65,17.0
2025-03-23,28.6,68,14.4
2025-03-24,28.5,75,17.4
2025-03-25,28.7,67,16.7
2025-03-26,27.9,73,15.2
2025-03-27,27.3,76,16.5
2025-03-28,28.7,61,17.3
2025-03-29,31.1,31,16.2
2025-03-30,31.7,39,18.2
2025-03-31,31.4,44,16.0
2025-04-01,31.9,44,14.5
2025-04-02,32.0,41,15.3
2025-04-03,29.6,73,12.1
2025-04-04,29.3,76,15.4
2025-04-05,29.9,63,18.5
2025-04-06,30.1,59,16.1
2025-04-07,30.8,57,19.1
2025-04-08,31.2,49,19.9
