date,temperature_avg,humidity_avg,wind_speed_max
2025-03-08,3.5,49,22.7
2025-03-09,3.6,53,24.4
2025-03-10,9.4,57,13.2
2025-03-11,9.4,66,11.2
2025-03-12,7.4,53,15.0
2025-03-13,5.6,71,10.9
2025-03-14,5.9,78,10.5
2025-03-15,6.5,92,11.9
2025-03-16,12.6,93,24.3
2025-03-17,11.5,79,22.0
2025-03-18,6.7,54,17.8
2025-03-19,8.0,66,10.3
2025-03-20,7.7,94,16.4
2025-03-21,6.4,57,25.7
2025-03-22,8.2,57,22.1
2025-03-23,3.1,51,18.0
2025-03-24,7.0,87,16.5
2025-03-25,9.2,56,26.2
2025-03-26,5.9,57,18.0
2025-03-27,4.5,52,16.1
2025-03-28,10.0,56,13.2
2025-03-29,15.9,68,21.7
2025-03-30,8.6,85,9.0
2025-03-31,16.5,84,21.2
2025-04-01,8.7,59,22.6
2025-04-02,4.6,61,16.0
2025-04-03,15.1,83,22.0
2025-04-04,17.4,63,15.6
2025-04-05,9.4,72,16.5
2025-04-06,9.8,77,14.0
2025-04-07,6.0,82,11.9
2025-04-08,4.5,57,27.0
