date,temperature_avg,humidity_avg,wind_speed_max
2025-03-08,11.8,67,12.6
2025-03-09,12.4,67,12.8
2025-03-10,10.9,84,11.0
2025-03-11,7.4,90,13.5
2025-03-12,5.1,82,13.3
2025-03-13,4.7,82,10.3
2025-03-14,3.3,82,12.8
2025-03-15,4.1,69,20.5
2025-03-16,6.0,69,15.6
2025-03-17,6.0,67,15.9
2025-03-18,6.8,64,12.5
2025-03-19,10.5,71,10.1
2025-03-20,11.8,75,9.9
2025-03-21,13.7,73,16.0
2025-03-22,12.9,87,14.7
2025-03-23,10.2,83,13.4
2025-03-24,11.0,83,9.1
2025-03-25,10.6,81,12.2
2025-03-26,10.4,82,11.8
2025-03-27,9.1,78,8.0
2025-03-28,8.1,87,17.3
2025-03-29,9.1,70,16.5
2025-03-30,10.0,73,17.2
2025-03-31,9.4,78,11.5
2025-04-01,9.3,64,24.8
2025-04-02,11.2,62,16.9
2025-04-03,13.8,68,13.8
2025-04-04,15.9,65,13.8
2025-04-05,15.9,60,13.5
2025-04-06,13.0,54,13.8
2025-04-07,10.4,47,9.8
2025-04-08,11.5,54,9.1
