date,temperature_avg,humidity_avg,wind_speed_max
2025-03-08,12.3,77,6.0
2025-03-09,14.2,75,17.4
2025-03-10,14.8,78,25.7
2025-03-11,14.3,83,11.3
2025-03-12,13.3,85,26.9
2025-03-13,13.1,83,17.4
2025-03-14,15.6,76,28.3
2025-03-15,14.7,82,10.4
2025-03-16,11.6,76,18.4
2025-03-17,9.2,81,9.9
2025-03-18,9.1,68,15.7
2025-03-19,8.2,70,10.3
2025-03-20,9.6,78,12.3
2025-03-21,11.8,77,11.9
2025-03-22,12.6,72,19.9
2025-03-23,15.5,77,13.1
2025-03-24,14.2,83,9.6
2025-03-25,12.8,82,16.6
2025-03-26,12.8,79,12.0
2025-03-27,11.7,79,19.9
2025-03-28,10.7,86,17.5
2025-03-29,11.8,81,8.6
2025-03-30,14.2,73,12.6
2025-03-31,12.2,67,18.7
2025-04-01,11.0,65,24.2
2025-04-02,12.7,73,13.7
2025-04-03,13.5,78,11.1
2025-04-04,13.1,74,10.9
2025-04-05,12.9,79,11.2
2025-04-06,13.3,80,12.6
2025-04-07,10.9,65,17.4
2025-04-08,10.5,72,12.3
