date,temperature_avg,humidity_avg,wind_speed_max
2025-03-08,3.5,81,23.3
2025-03-09,1.5,75,22.0
2025-03-10,1.9,75,13.5
2025-03-11,1.0,81,14.1
2025-03-12,-2.6,76,13.5
2025-03-13,-0.4,88,10.6
2025-03-14,-1.7,85,18.8
2025-03-15,-1.1,70,25.7
2025-03-16,-1.2,74,23.9
2025-03-17,-5.3,76,18.0
2025-03-18,-2.0,85,14.1
2025-03-19,2.8,71,29.2
2025-03-20,1.1,82,12.1
2025-03-21,0.8,75,14.2
2025-03-22,-0.2,55,8.5
2025-03-23,1.6,47,8.2
2025-03-24,2.0,63,20.3
2025-03-25,4.0,86,21.7
2025-03-26,3.8,92,13.6
2025-03-27,2.7,75,12.6
2025-03-28,5.2,73,19.9
2025-03-29,8.6,76,14.9
2025-03-30,9.2,66,14.4
2025-03-31,9.5,67,12.3
2025-04-01,8.1,73,15.2
2025-04-02,5.8,77,17.2
2025-04-03,7.9,73,17.0
2025-04-04,4.8,66,26.3
2025-04-05,-0.5,61,20.5
2025-04-06,-0.9,57,13.9
2025-04-07,0.8,61,14.7
2025-04-08,-0.3,58,17.1
