date,temperature_avg,humidity_avg,wind_speed_max
2025-03-08,4.4,66,11.4
2025-03-09,4.2,80,7.2
2025-03-10,5.3,75,12.8
2025-03-11,6.4,75,9.1
2025-03-12,7.0,85,15.6
2025-03-13,7.5,59,10.4
2025-03-14,10.3,42,10.1
2025-03-15,9.9,57,16.3
2025-03-16,4.7,59,24.1
2025-03-17,1.2,48,15.1
2025-03-18,1.0,73,18.6
2025-03-19,1.0,57,13.8
2025-03-20,5.4,73,17.2
2025-03-21,8.7,74,13.4
2025-03-22,10.4,66,15.0
2025-03-23,12.4,64,11.9
2025-03-24,13.1,63,16.8
2025-03-25,11.0,72,26.5
2025-03-26,13.3,54,10.3
2025-03-27,13.3,66,19.2
2025-03-28,6.4,38,21.8
2025-03-29,2.4,45,23.5
2025-03-30,2.0,56,21.2
2025-03-31,5.5,61,12.7
2025-04-01,8.3,59,10.0
2025-04-02,7.3,56,15.8
2025-04-03,8.3,61,15.0
2025-04-04,9.5,61,12.5
2025-04-05,7.4,89,9.3
2025-04-06,8.5,77,16.0
2025-04-07,11.1,64,15.1
2025-04-08,12.2,63,15.8
