date,temperature_avg,humidity_avg,wind_speed_max
2025-03-08,6.8,74,11.2
2025-03-09,9.0,77,11.7
2025-03-10,11.5,83,8.3
2025-03-11,13.1,88,10.1
2025-03-12,12.6,94,12.3
2025-03-13,10.4,78,13.8
2025-03-14,10.3,80,12.3
2025-03-15,9.6,84,19.1
2025-03-16,6.9,66,20.3
2025-03-17,6.7,57,10.7
2025-03-18,7.5,56,18.1
2025-03-19,6.9,56,9.4
2025-03-20,11.8,59,14.2
2025-03-21,16.9,40,14.9
2025-03-22,19.8,28,17.7
2025-03-23,21.2,35,17.4
2025-03-24,22.2,40,16.6
2025-03-25,23.9,31,14.2
2025-03-26,23.8,53,16.8
2025-03-27,16.7,74,21.0
2025-03-28,9.1,66,18.3
2025-03-29,8.4,70,10.9
2025-03-30,8.2,56,8.9
2025-03-31,8.6,59,10.9
2025-04-01,10.1,56,8.8
2025-04-02,12.7,61,19.3
2025-04-03,12.5,53,10.3
2025-04-04,13.4,61,13.5
2025-04-05,17.5,59,14.5
2025-04-06,16.7,66,10.1
2025-04-07,18.9,56,13.6
2025-04-08,22.3,44,14.5
