date,temperature_avg,humidity_avg,wind_speed_max
2025-03-08,26.5,87,13.9
2025-03-09,26.0,87,14.7
2025-03-10,26.3,86,16.3
2025-03-11,26.7,84,11.6
2025-03-12,26.1,86,10.9
2025-03-13,26.0,88,9.7
2025-03-14,26.2,87,13.9
2025-03-15,26.8,86,10.7
2025-03-16,27.1,84,9.2
2025-03-17,26.8,81,11.3
2025-03-18,26.7,80,14.6
2025-03-19,23.9,96,10.0
2025-03-20,22.9,99,15.7
2025-03-21,25.0,88,19.8
2025-03-22,25.8,88,13.9
2025-03-23,26.1,86,13.9
2025-03-24,26.0,88,14.2
2025-03-25,26.6,85,12.8
2025-03-26,27.1,83,10.9
2025-03-27,27.1,84,9.2
2025-03-28,26.9,86,15.5
2025-03-29,26.6,88,7.7
2025-03-30,26.6,87,7.8
2025-03-31,25.9,89,7.6
2025-04-01,27.1,83,11.2
2025-04-02,26.2,84,12.1
2025-04-03,25.7,88,8.2
2025-04-04,25.9,89,8.1
2025-04-05,26.2,87,7.6
2025-04-06,26.1,88,12.6
2025-04-07,25.0,92,6.8
2025-04-08,25.4,91,7.6
