date,temperature_avg,humidity_avg,wind_speed_max
2025-03-08,21.9,75,19.8
2025-03-09,22.4,77,18.6
2025-03-10,21.8,82,17.5
2025-03-11,21.5,85,13.2
2025-03-12,21.4,86,10.8
2025-03-13,22.1,85,15.7
2025-03-14,23.3,84,17.5
2025-03-15,25.3,77,17.9
2025-03-16,29.9,41,20.8
2025-03-17,19.2,54,31.1
2025-03-18,19.8,65,13.8
2025-03-19,22.3,70,24.3
2025-03-20,23.3,74,20.0
2025-03-21,22.0,83,12.2
2025-03-22,21.2,84,15.0
2025-03-23,21.1,85,12.1
2025-03-24,21.7,82,12.6
2025-03-25,21.7,84,13.4
2025-03-26,21.7,80,13.4
2025-03-27,20.9,81,12.5
2025-03-28,21.5,77,18.4
2025-03-29,19.7,90,26.3
2025-03-30,20.5,81,33.0
2025-03-31,19.1,79,33.0
2025-04-01,18.5,73,22.5
2025-04-02,17.2,74,11.5
2025-04-03,18.2,75,15.0
2025-04-04,18.9,80,13.4
2025-04-05,18.3,69,16.5
2025-04-06,18.1,64,15.9
2025-04-07,18.5,58,15.5
2025-04-08,17.7,79,10.2
