date,temperature_avg,humidity_avg,wind_speed_max
2025-03-08,2.5,72,10.2
2025-03-09,5.6,69,15.7
2025-03-10,7.3,60,11.4
2025-03-11,8.7,82,10.8
2025-03-12,10.6,91,7.5
2025-03-13,13.8,71,13.8
2025-03-14,10.9,50,17.2
2025-03-15,7.4,65,14.1
2025-03-16,5.6,91,21.9
2025-03-17,8.7,66,22.6
2025-03-18,6.9,60,15.1
2025-03-19,4.6,80,23.8
2025-03-20,6.9,60,15.2
2025-03-21,9.2,73,10.2
2025-03-22,13.4,61,9.4
2025-03-23,16.0,55,9.9
2025-03-24,13.6,79,11.4
2025-03-25,16.2,70,14.3
2025-03-26,18.4,55,17.5
2025-03-27,16.7,72,22.6
2025-03-28,19.1,79,20.2
2025-03-29,7.6,78,13.5
2025-03-30,8.0,67,16.0
2025-03-31,5.9,66,11.1
2025-04-01,4.7,92,21.0
2025-04-02,9.5,86,20.5
2025-04-03,8.3,87,10.0
2025-04-04,9.3,66,16.2
2025-04-05,10.4,65,13.5
2025-04-06,14.1,74,17.1
2025-04-07,13.0,70,12.1
2025-04-08,13.3,63,15.7
