date,temperature_avg,humidity_avg,wind_speed_max
2025-03-08,-2.9,65,24.7
2025-03-09,2.0,65,21.5
2025-03-10,5.6,74,22.6
2025-03-11,5.6,65,19.2
2025-03-12,-1.5,67,18.9
2025-03-13,1.3,65,12.3
2025-03-14,3.3,74,11.7
2025-03-15,10.1,75,24.2
2025-03-16,10.2,85,34.7
2025-03-17,1.4,65,17.6
2025-03-18,5.9,71,14.9
2025-03-19,10.9,65,15.9
2025-03-20,8.3,69,26.0
2025-03-21,2.8,61,20.7
2025-03-22,2.2,60,25.2
2025-03-23,-2.3,62,22.0
2025-03-24,3.7,76,26.5
2025-03-25,1.9,70,20.9
2025-03-26,-0.1,63,16.8
2025-03-27,3.2,53,18.0
2025-03-28,2.0,78,15.6
2025-03-29,1.5,89,18.9
2025-03-30,2.9,96,17.4
2025-03-31,7.5,80,23.4
2025-04-01,0.8,56,15.8
2025-04-02,0.8,76,31.3
2025-04-03,12.9,72,28.4
2025-04-04,5.2,73,10.1
2025-04-05,7.0,80,22.0
2025-04-06,4.0,51,16.5
2025-04-07,2.4,68,27.3
2025-04-08,-3.0,54,30.8
