date,temperature_avg,humidity_avg,wind_speed_max
2020-01-01,-6.1,22,7.9
2020-01-02,-4.3,30,10.6
2020-01-03,-1.5,39,10.8
2020-01-04,-0.0,41,16.0
2020-01-05,-1.2,73,7.6
2020-01-06,-0.0,83,19.2
2020-01-07,0.6,35,25.0
2020-01-08,-1.6,36,23.9
2020-01-09,-3.0,47,10.6
2020-01-10,-1.4,41,17.5
2020-01-11,-2.5,35,24.9
2020-01-12,-3.0,39,18.5
2020-01-13,-3.9,30,17.8
2020-01-14,-4.5,36,16.3
2020-01-15,-4.4,45,11.0
2020-01-16,-3.2,36,14.0
2020-01-17,-2.9,43,11.3
2020-01-18,-2.1,55,20.2
2020-01-19,-1.0,32,20.2
2020-01-20,-0.7,29,17.7
2020-01-21,-2.2,43,10.7
2020-01-22,-1.3,46,10.8
2020-01-23,-0.7,46,19.2
2020-01-24,-1.9,64,14.4
2020-01-25,-2.2,68,11.4
2020-01-26,-2.0,63,10.3
2020-01-27,-0.2,55,7.3
2020-01-28,0.4,54,8.1
2020-01-29,0.8,54,10.5
2020-01-30,-0.6,49,15.7
2020-01-31,0.0,47,15.2
2020-02-01,0.2,33,21.6
2020-02-02,0.1,59,24.0
2020-02-03,-2.9,37,21.9
2020-02-04,-2.9,30,22.7
2020-02-05,-6.0,42,20.2
2020-02-06,-5.4,73,11.6
2020-02-07,-4.0,70,10.4
2020-02-08,-0.7,43,13.1
2020-02-09,0.4,56,14.7
2020-02-10,2.2,52,11.9
2020-02-11,2.5,73,9.7
2020-02-12,3.2,80,13.3
2020-02-13,4.0,89,12.9
2020-02-14,0.5,81,27.6
2020-02-15,-2.8,32,30.9
2020-02-16,-0.8,27,32.4
2020-02-17,1.2,36,19.8
2020-02-18,3.0,48,11.6
2020-02-19,2.1,65,12.5
2020-02-20,1.7,77,9.4
2020-02-21,3.0,57,18.9
2020-02-22,3.1,30,18.2
2020-02-23,2.4,48,13.0
2020-02-24,5.2,51,15.5
2020-02-25,5.8,44,10.6
2020-02-26,3.2,51,14.1
2020-02-27,2.8,47,22.6
2020-02-28,2.6,66,9.0
2020-02-29,2.4,91,10.1
2020-03-01,4.4,50,29.0
2020-03-02,3.0,52,31.4
2020-03-03,3.0,39,31.5
2020-03-04,1.1,29,24.5
2020-03-05,2.2,43,22.1
2020-03-06,4.0,69,14.0
2020-03-07,6.9,58,16.0
2020-03-08,4.5,87,12.2
2020-03-09,7.5,69,18.4
2020-03-10,4.8,30,24.7
2020-03-11,4.6,48,12.6
2020-03-12,7.6,38,24.1
2020-03-13,5.1,24,23.2
2020-03-14,7.3,27,29.0
2020-03-15,8.9,34,20.1
2020-03-16,5.2,55,21.7
2020-03-17,10.8,40,21.3
2020-03-18,12.5,34,54.3
2020-03-19,10.4,16,33.5
2020-03-20,12.9,27,23.4
2020-03-21,12.3,28,16.6
2020-03-22,11.9,34,27.2
2020-03-23,13.3,26,24.9
2020-03-24,11.5,40,16.3
2020-03-25,15.6,51,18.8
2020-03-26,8.9,39,37.9
2020-03-27,6.9,13,29.3
2020-03-28,6.8,19,19.0
2020-03-29,9.2,35,17.9
2020-03-30,11.8,46,23.6
2020-03-31,13.5,46,24.0
2020-04-01,10.7,17,25.6
2020-04-02,11.7,19,21.8
2020-04-03,15.0,19,23.5
2020-04-04,12.7,19,25.1
2020-04-05,11.0,27,13.5
2020-04-06,15.2,31,16.1
2020-04-07,13.5,22,18.9
2020-04-08,10.7,34,20.9
2020-04-09,9.5,38,11.7
2020-04-10,11.2,37,15.0
2020-04-11,14.2,22,25.7
2020-04-12,16.8,14,25.3
2020-04-13,16.5,24,14.7
2020-04-14,18.1,32,17.2
2020-04-15,18.8,40,17.3
2020-04-16,15.0,46,30.0
2020-04-17,16.4,35,32.8
2020-04-18,15.5,39,13.7
2020-04-19,16.5,44,28.9
2020-04-20,11.5,23,36.4
2020-04-21,8.3,15,37.8
2020-04-22,9.0,13,29.6
2020-04-23,11.8,11,25.5
2020-04-24,18.2,12,28.3
2020-04-25,16.8,18,29.8
2020-04-26,15.4,23,15.3
2020-04-27,16.1,34,18.5
2020-04-28,20.0,30,27.2
2020-04-29,22.2,33,28.8
2020-04-30,24.1,41,20.7
2020-05-01,26.0,49,18.9
2020-05-02,26.6,49,23.3
2020-05-03,22.4,63,17.4
2020-05-04,16.2,60,21.3
2020-05-05,17.5,68,23.8
2020-05-06,19.6,59,22.6
2020-05-07,17.9,59,21.2
2020-05-08,15.0,79,16.6
2020-05-09,15.5,76,19.9
2020-05-10,18.5,38,41.8
2020-05-11,20.5,23,25.9
2020-05-12,20.1,31,28.7
2020-05-13,21.3,49,27.1
2020-05-14,23.7,44,25.7
2020-05-15,19.3,67,16.1
2020-05-16,19.3,53,19.6
2020-05-17,17.1,26,21.7
2020-05-18,20.3,23,30.3
2020-05-19,22.6,28,24.2
2020-05-20,22.7,41,14.2
2020-05-21,19.4,68,17.9
2020-05-22,22.0,58,17.6
2020-05-23,21.7,48,29.8
2020-05-24,23.6,34,22.4
2020-05-25,20.5,44,19.5
2020-05-26,22.0,37,22.4
2020-05-27,22.5,36,23.2
2020-05-28,23.8,41,17.2
2020-05-29,24.1,50,12.6
2020-05-30,24.7,51,26.5
2020-05-31,21.4,51,28.0
2020-06-01,21.8,43,30.4
2020-06-02,23.9,53,21.4
2020-06-03,26.9,32,27.0
2020-06-04,24.6,30,20.4
2020-06-05,23.9,39,22.1
2020-06-06,24.3,40,17.9
2020-06-07,27.5,39,24.2
2020-06-08,31.4,27,29.8
2020-06-09,27.2,44,20.2
2020-06-10,26.9,56,15.9
2020-06-11,26.1,55,21.1
2020-06-12,27.6,50,14.0
2020-06-13,28.1,43,19.9
2020-06-14,28.7,24,28.3
2020-06-15,30.2,25,21.1
2020-06-16,28.6,34,29.7
2020-06-17,26.7,41,30.4
2020-06-18,25.9,54,26.2
2020-06-19,27.2,50,24.2
2020-06-20,28.3,48,19.6
2020-06-21,30.6,40,25.9
2020-06-22,29.7,42,25.7
2020-06-23,27.0,55,22.0
2020-06-24,26.1,59,20.8
2020-06-25,22.2,84,18.1
2020-06-26,22.8,77,9.0
2020-06-27,25.7,70,10.9
2020-06-28,25.9,65,11.1
2020-06-29,25.3,65,7.4
2020-06-30,27.0,48,18.2
2020-07-01,27.3,55,24.9
2020-07-02,24.9,72,14.3
2020-07-03,22.7,84,11.5
2020-07-04,24.6,72,17.7
2020-07-05,25.6,75,12.5
2020-07-06,25.5,74,8.9
2020-07-07,26.8,55,18.9
2020-07-08,26.2,62,16.2
2020-07-09,21.6,80,16.2
2020-07-10,22.2,78,8.1
2020-07-11,24.4,80,8.6
2020-07-12,24.0,86,10.8
2020-07-13,24.2,80,8.2
2020-07-14,25.5,72,13.0
