date,temperature_avg,humidity_avg,wind_speed_max
2020-01-01,1.1,92,12.3
2020-01-02,-0.5,79,14.0
2020-01-03,4.1,88,22.7
2020-01-04,4.0,88,32.6
2020-01-05,1.1,87,19.6
2020-01-06,3.7,87,16.1
2020-01-07,2.3,92,14.6
2020-01-08,5.7,88,22.2
2020-01-09,7.8,94,20.2
2020-01-10,9.1,88,23.9
2020-01-11,4.9,79,22.7
2020-01-12,3.2,78,25.1
2020-01-13,5.7,85,25.3
2020-01-14,7.3,74,27.1
2020-01-15,10.2,60,24.7
2020-01-16,6.7,83,19.4
2020-01-17,4.1,86,21.8
2020-01-18,5.4,82,22.5
2020-01-19,3.4,88,13.8
2020-01-20,2.1,93,15.6
2020-01-21,2.1,83,18.2
2020-01-22,3.3,90,20.8
2020-01-23,2.4,90,11.9
2020-01-24,0.2,91,14.7
2020-01-25,0.9,91,13.6
2020-01-26,0.2,90,10.2
2020-01-27,4.4,88,18.8
2020-01-28,5.6,85,29.0
2020-01-29,3.6,81,34.6
2020-01-30,5.0,85,27.1
2020-01-31,9.1,81,29.2
2020-02-01,10.6,87,29.0
2020-02-02,7.4,81,31.7
2020-02-03,7.1,91,24.7
2020-02-04,5.1,84,30.5
2020-02-05,2.6,80,33.2
2020-02-06,4.0,80,23.9
2020-02-07,5.6,86,15.5
2020-02-08,4.6,82,18.2
2020-02-09,8.2,69,40.1
2020-02-10,7.6,76,44.7
2020-02-11,4.4,70,45.4
2020-02-12,3.8,63,42.5
2020-02-13,3.6,75,25.6
2020-02-14,4.0,92,12.9
2020-02-15,5.3,85,21.2
2020-02-16,11.4,58,36.6
2020-02-17,10.0,60,36.2
2020-02-18,6.6,71,35.7
2020-02-19,4.9,80,25.9
2020-02-20,4.3,85,24.1
2020-02-21,6.0,73,32.2
2020-02-22,8.0,66,38.9
2020-02-23,6.7,86,31.4
2020-02-24,5.1,78,33.1
2020-02-25,8.1,76,28.7
2020-02-26,2.8,87,16.9
2020-02-27,2.7,90,18.6
2020-02-28,3.0,83,27.3
2020-02-29,6.5,78,28.8
2020-03-01,6.8,72,30.6
2020-03-02,6.0,82,21.3
2020-03-03,4.4,89,20.9
2020-03-04,3.7,84,18.0
2020-03-05,4.5,77,19.9
2020-03-06,5.4,86,20.4
2020-03-07,4.6,85,29.8
2020-03-08,5.1,78,20.6
2020-03-09,7.1,83,13.3
2020-03-10,5.6,89,26.8
2020-03-11,9.7,75,30.7
2020-03-12,9.7,68,44.8
2020-03-13,6.0,68,42.0
2020-03-14,2.8,68,20.9
2020-03-15,5.0,53,24.5
2020-03-16,8.0,60,15.9
2020-03-17,8.1,78,17.0
2020-03-18,10.5,63,21.0
2020-03-19,10.1,80,13.4
2020-03-20,6.9,78,13.6
2020-03-21,3.7,66,25.6
2020-03-22,1.1,59,21.8
2020-03-23,-0.1,56,13.4
2020-03-24,0.7,55,15.1
2020-03-25,2.1,50,19.1
2020-03-26,4.2,51,20.5
2020-03-27,8.0,58,14.2
2020-03-28,7.2,67,18.7
2020-03-29,2.9,76,30.6
2020-03-30,-0.2,70,23.0
2020-03-31,0.8,68,14.1
2020-04-01,3.2,61,19.6
2020-04-02,6.1,66,21.9
2020-04-03,7.0,56,25.5
2020-04-04,6.8,60,11.1
2020-04-05,7.8,60,19.1
2020-04-06,11.8,51,20.7
2020-04-07,11.9,65,16.5
2020-04-08,12.4,63,12.8
2020-04-09,11.8,66,22.7
2020-04-10,8.7,62,14.4
2020-04-11,7.7,67,9.0
2020-04-12,12.4,57,15.3
2020-04-13,7.9,57,27.7
2020-04-14,5.8,52,21.9
2020-04-15,8.9,58,24.6
2020-04-16,11.1,58,15.9
2020-04-17,10.7,58,14.8
2020-04-18,10.1,41,19.9
2020-04-19,9.0,41,21.3
2020-04-20,9.3,49,21.2
2020-04-21,11.0,47,24.5
2020-04-22,12.2,51,16.8
2020-04-23,13.5,51,9.8
2020-04-24,14.3,48,24.8
2020-04-25,11.0,56,23.7
2020-04-26,12.3,50,14.6
2020-04-27,13.7,52,18.0
2020-04-28,15.8,51,17.1
2020-04-29,12.3,78,16.1
2020-04-30,13.4,76,18.7
2020-05-01,13.1,64,25.5
2020-05-02,10.8,78,18.4
2020-05-03,10.6,73,20.6
2020-05-04,9.4,83,15.0
2020-05-05,7.8,67,21.3
2020-05-06,10.6,60,20.9
2020-05-07,10.6,66,18.7
2020-05-08,13.4,61,14.8
2020-05-09,15.3,53,15.3
2020-05-10,17.6,60,16.6
2020-05-11,8.4,79,26.3
2020-05-12,6.9,57,23.4
2020-05-13,9.7,59,20.0
2020-05-14,9.4,62,19.9
2020-05-15,9.3,56,21.8
2020-05-16,11.1,57,23.4
2020-05-17,13.4,52,22.0
2020-05-18,15.5,54,22.7
2020-05-19,14.5,69,21.7
2020-05-20,14.7,53,17.5
2020-05-21,14.4,51,18.4
2020-05-22,17.3,42,21.0
2020-05-23,15.7,70,21.4
2020-05-24,12.5,78,27.5
2020-05-25,11.6,81,22.7
2020-05-26,13.6,70,14.0
2020-05-27,14.9,65,18.1
2020-05-28,14.8,59,22.2
2020-05-29,14.1,56,17.2
2020-05-30,13.5,55,28.6
2020-05-31,15.5,59,24.6
2020-06-01,16.5,54,23.9
2020-06-02,19.3,48,20.0
2020-06-03,18.4,52,10.7
2020-06-04,17.9,62,24.8
2020-06-05,14.5,71,24.5
2020-06-06,14.1,58,27.0
2020-06-07,14.9,67,15.5
2020-06-08,16.0,58,12.5
2020-06-09,17.3,58,16.6
2020-06-10,16.5,64,19.5
2020-06-11,17.2,86,13.6
2020-06-12,20.2,77,16.4
2020-06-13,23.5,79,19.4
2020-06-14,21.3,71,21.5
2020-06-15,19.6,59,16.4
2020-06-16,19.8,60,9.7
2020-06-17,22.3,55,17.6
2020-06-18,21.5,61,16.3
2020-06-19,18.1,79,15.6
2020-06-20,17.0,83,26.3
2020-06-21,17.7,75,22.4
2020-06-22,19.2,60,23.5
2020-06-23,18.8,56,16.4
2020-06-24,19.7,64,17.9
