date,temperature_avg,humidity_avg,wind_speed_max
2020-01-01,13.5,66,10.0
2020-01-02,12.1,50,20.1
2020-01-03,11.9,56,25.6
2020-01-04,12.7,60,22.0
2020-01-05,12.2,52,17.1
2020-01-06,13.2,53,30.0
2020-01-07,13.2,50,30.0
2020-01-08,12.4,55,25.3
2020-01-09,12.1,65,22.7
2020-01-10,12.4,70,16.5
2020-01-11,12.6,68,9.3
2020-01-12,13.2,58,10.4
2020-01-13,13.9,56,8.5
2020-01-14,14.8,63,18.0
2020-01-15,17.0,62,19.7
2020-01-16,15.5,52,25.2
2020-01-17,14.8,68,25.6
2020-01-18,14.1,71,17.3
2020-01-19,13.1,68,15.3
2020-01-20,13.4,66,19.9
2020-01-21,13.8,50,24.0
2020-01-22,12.5,56,14.7
2020-01-23,13.1,59,14.5
2020-01-24,14.3,54,20.3
2020-01-25,11.9,58,11.6
2020-01-26,12.3,58,16.1
2020-01-27,13.3,56,15.0
2020-01-28,13.3,65,13.0
2020-01-29,14.3,65,10.3
2020-01-30,14.5,56,12.7
2020-01-31,14.2,50,14.8
2020-02-01,13.2,62,15.5
2020-02-02,14.4,61,11.5
2020-02-03,14.6,68,12.2
2020-02-04,15.3,65,13.2
2020-02-05,15.8,56,20.2
2020-02-06,17.7,40,22.3
2020-02-07,15.4,37,23.7
2020-02-08,13.0,59,21.6
2020-02-09,12.3,56,20.1
2020-02-10,12.9,50,17.0
2020-02-11,13.7,56,16.6
2020-02-12,14.9,51,15.8
2020-02-13,17.1,47,14.6
2020-02-14,16.5,68,14.9
2020-02-15,15.6,72,12.8
2020-02-16,16.2,65,15.8
2020-02-17,16.1,65,14.7
2020-02-18,14.5,71,16.3
2020-02-19,14.0,70,21.3
2020-02-20,14.4,63,13.4
2020-02-21,15.4,48,25.2
2020-02-22,14.8,59,13.4
2020-02-23,14.7,58,15.8
2020-02-24,11.7,83,11.3
2020-02-25,13.7,75,19.3
2020-02-26,15.2,68,11.6
2020-02-27,17.9,52,10.7
2020-02-28,19.0,50,17.2
2020-02-29,15.9,63,19.7
2020-03-01,15.9,54,14.0
2020-03-02,15.7,59,16.4
2020-03-03,17.1,55,17.1
2020-03-04,17.7,55,13.5
2020-03-05,20.5,30,17.9
2020-03-06,17.8,44,28.4
2020-03-07,17.4,62,11.0
2020-03-08,18.8,57,20.0
2020-03-09,20.4,49,24.7
2020-03-10,17.5,56,21.0
2020-03-11,18.0,63,23.2
2020-03-12,16.1,88,26.5
2020-03-13,15.3,82,34.2
2020-03-14,18.2,75,19.1
2020-03-15,18.4,76,12.2
2020-03-16,19.0,69,11.8
2020-03-17,15.6,68,28.7
2020-03-18,15.0,55,21.4
2020-03-19,14.3,61,23.9
2020-03-20,12.8,60,25.7
2020-03-21,14.1,56,20.2
2020-03-22,14.8,53,11.9
2020-03-23,21.7,28,29.3
2020-03-24,19.9,46,18.5
2020-03-25,18.2,59,14.8
2020-03-26,20.6,49,20.6
2020-03-27,21.5,47,20.8
2020-03-28,18.5,56,14.4
2020-03-29,18.9,45,13.7
2020-03-30,22.7,26,18.9
2020-03-31,24.5,22,29.9
2020-04-01,19.5,51,15.1
2020-04-02,19.6,54,14.4
2020-04-03,21.8,42,16.1
2020-04-04,26.2,23,19.7
2020-04-05,25.1,28,23.6
2020-04-06,20.5,53,18.6
2020-04-07,19.0,48,19.1
2020-04-08,18.3,55,17.3
2020-04-09,18.2,54,20.6
2020-04-10,17.6,56,18.2
2020-04-11,18.0,53,16.7
2020-04-12,19.4,52,15.9
2020-04-13,19.9,50,18.5
2020-04-14,20.1,51,18.2
2020-04-15,21.8,48,11.8
2020-04-16,21.4,39,23.2
2020-04-17,21.0,52,22.9
2020-04-18,21.8,54,20.7
2020-04-19,22.4,50,19.4
2020-04-20,22.7,47,18.3
2020-04-21,24.8,34,12.0
2020-04-22,26.1,28,24.2
2020-04-23,23.0,54,19.6
2020-04-24,24.6,43,33.5
2020-04-25,20.3,54,24.2
2020-04-26,20.5,52,14.4
2020-04-27,22.7,45,11.3
2020-04-28,24.2,40,20.6
2020-04-29,21.7,46,16.3
2020-04-30,22.5,45,22.8
2020-05-01,25.4,39,14.2
2020-05-02,24.3,41,15.2
2020-05-03,24.5,43,16.0
2020-05-04,25.9,36,26.2
2020-05-05,22.1,47,30.7
2020-05-06,22.0,49,16.5
2020-05-07,24.4,40,17.8
2020-05-08,27.0,33,26.8
2020-05-09,23.5,52,20.2
2020-05-10,23.4,48,17.0
2020-05-11,24.6,44,21.3
2020-05-12,26.4,41,21.4
2020-05-13,27.7,33,23.2
2020-05-14,28.0,32,18.9
2020-05-15,28.5,39,27.2
2020-05-16,30.8,35,17.7
2020-05-17,32.9,27,19.6
2020-05-18,33.4,28,19.5
2020-05-19,34.0,28,20.7
2020-05-20,36.5,14,20.9
2020-05-21,35.8,15,22.2
2020-05-22,29.4,42,21.2
2020-05-23,25.7,47,22.8
2020-05-24,23.7,39,21.5
2020-05-25,23.9,42,18.6
2020-05-26,25.9,41,18.0
2020-05-27,25.8,45,20.8
2020-05-28,24.7,46,22.9
2020-05-29,23.7,44,20.0
2020-05-30,23.6,42,20.7
2020-05-31,24.7,40,17.1
2020-06-01,29.0,30,22.3
2020-06-02,26.4,39,22.0
2020-06-03,26.3,38,19.9
2020-06-04,27.3,40,20.3
2020-06-05,26.2,47,19.1
2020-06-06,27.3,44,14.8
2020-06-07,32.2,25,15.9
2020-06-08,28.6,45,27.3
2020-06-09,28.3,42,14.2
2020-06-10,30.7,35,19.1
2020-06-11,30.2,31,20.0
2020-06-12,30.3,29,15.8
2020-06-13,31.7,23,16.9
