date,temperature_avg,humidity_avg,wind_speed_max
2020-01-01,21.3,63,21.5
2020-01-02,21.7,75,17.0
2020-01-03,21.3,70,12.1
2020-01-04,22.1,52,22.1
2020-01-05,22.5,59,31.0
2020-01-06,21.2,61,27.4
2020-01-07,19.4,61,18.0
2020-01-08,19.8,54,22.7
2020-01-09,20.5,56,20.3
2020-01-10,19.4,80,29.0
2020-01-11,19.6,75,40.0
2020-01-12,17.1,65,42.5
2020-01-13,18.0,58,25.5
2020-01-14,18.5,60,29.6
2020-01-15,16.1,72,27.6
2020-01-16,15.8,65,12.7
2020-01-17,16.1,66,16.9
2020-01-18,17.1,70,15.7
2020-01-19,17.8,68,14.4
2020-01-20,18.2,74,22.5
2020-01-21,18.9,70,17.3
2020-01-22,17.8,73,18.4
2020-01-23,20.5,74,28.2
2020-01-24,18.9,73,24.5
2020-01-25,18.1,70,16.1
2020-01-26,17.7,61,41.5
2020-01-27,18.6,60,29.7
2020-01-28,17.6,65,15.5
2020-01-29,16.8,69,19.8
2020-01-30,17.1,74,20.5
2020-01-31,17.0,76,17.7
2020-02-01,17.3,71,19.0
2020-02-02,18.0,67,22.0
2020-02-03,19.3,54,38.3
2020-02-04,18.2,61,19.6
2020-02-05,17.1,72,16.1
2020-02-06,18.6,81,17.4
2020-02-07,18.9,83,17.0
2020-02-08,20.0,68,19.9
2020-02-09,22.5,57,26.7
2020-02-10,22.2,63,28.6
2020-02-11,20.9,61,33.4
2020-02-12,17.9,54,39.5
2020-02-13,17.7,60,30.5
2020-02-14,17.8,65,17.0
2020-02-15,17.7,78,16.7
2020-02-16,19.6,69,27.0
2020-02-17,22.6,39,20.2
2020-02-18,21.0,43,16.2
2020-02-19,21.5,50,16.9
2020-02-20,21.9,45,22.6
2020-02-21,21.5,65,19.0
2020-02-22,22.9,78,18.5
2020-02-23,23.5,72,18.5
2020-02-24,23.2,66,21.7
2020-02-25,24.3,56,20.9
2020-02-26,23.9,59,36.9
2020-02-27,21.1,60,34.7
2020-02-28,20.5,69,19.5
2020-02-29,20.4,81,24.8
2020-03-01,20.7,80,19.6
2020-03-02,21.4,69,20.6
2020-03-03,20.8,70,32.0
2020-03-04,20.5,60,35.1
2020-03-05,20.7,66,21.9
2020-03-06,20.5,72,26.7
2020-03-07,21.6,64,25.9
2020-03-08,21.9,51,24.9
2020-03-09,21.3,70,20.3
2020-03-10,21.5,54,30.4
2020-03-11,20.0,55,22.5
2020-03-12,19.8,72,19.6
2020-03-13,21.0,62,21.5
2020-03-14,24.1,31,20.5
2020-03-15,25.3,34,25.1
2020-03-16,24.1,49,23.8
2020-03-17,23.9,65,20.1
2020-03-18,25.4,50,23.4
2020-03-19,25.7,54,34.6
2020-03-20,25.6,60,18.9
2020-03-21,25.1,62,31.2
2020-03-22,24.6,74,39.8
2020-03-23,21.5,48,35.4
2020-03-24,21.0,55,34.8
2020-03-25,21.3,60,20.8
2020-03-26,21.9,67,23.9
2020-03-27,24.3,52,27.0
2020-03-28,26.3,47,28.9
2020-03-29,28.3,39,32.1
2020-03-30,24.7,65,45.8
2020-03-31,22.4,65,28.4
2020-04-01,23.0,70,19.6
2020-04-02,23.5,75,19.2
2020-04-03,26.2,55,24.0
2020-04-04,27.8,36,25.3
2020-04-05,26.7,51,26.4
2020-04-06,24.8,63,24.1
2020-04-07,23.8,66,22.2
2020-04-08,26.0,54,17.9
2020-04-09,29.2,33,23.0
2020-04-10,31.9,26,35.3
2020-04-11,32.3,28,33.4
2020-04-12,30.1,38,29.8
2020-04-13,28.6,47,29.4
2020-04-14,26.0,64,31.7
2020-04-15,24.7,72,27.5
2020-04-16,23.4,80,22.5
2020-04-17,23.3,80,18.9
2020-04-18,23.2,77,24.8
2020-04-19,27.3,55,25.7
2020-04-20,28.7,47,27.8
2020-04-21,27.2,56,33.3
2020-04-22,26.6,61,27.0
2020-04-23,26.6,58,19.2
2020-04-24,27.7,52,16.9
2020-04-25,28.7,36,20.5
2020-04-26,31.7,24,20.8
2020-04-27,32.7,32,25.6
2020-04-28,29.4,54,17.6
2020-04-29,31.0,38,35.1
2020-04-30,34.1,26,32.7
2020-05-01,33.7,30,26.6
2020-05-02,31.0,49,17.9
2020-05-03,31.0,42,28.3
2020-05-04,28.8,59,18.6
2020-05-05,27.4,66,17.4
2020-05-06,27.3,52,17.7
2020-05-07,28.3,49,26.4
2020-05-08,29.2,54,25.2
2020-05-09,28.2,64,20.0
2020-05-10,28.6,64,18.1
2020-05-11,30.5,57,27.2
2020-05-12,29.6,52,40.0
2020-05-13,28.7,54,35.8
2020-05-14,28.2,58,23.5
2020-05-15,29.3,63,26.2
2020-05-16,31.1,47,22.1
2020-05-17,31.0,56,24.7
2020-05-18,30.7,46,25.4
2020-05-19,31.7,41,29.0
2020-05-20,31.0,44,19.5
2020-05-21,30.6,38,20.9
2020-05-22,31.0,54,22.7
2020-05-23,31.0,55,27.2
2020-05-24,32.7,52,21.5
2020-05-25,33.6,44,24.6
2020-05-26,32.4,46,23.2
2020-05-27,31.0,69,22.7
2020-05-28,31.6,54,25.2
2020-05-29,33.1,45,27.5
2020-05-30,33.6,53,30.8
2020-05-31,33.8,51,27.2
2020-06-01,33.8,51,33.4
2020-06-02,33.9,47,29.6
2020-06-03,32.8,53,23.1
2020-06-04,32.9,54,24.4
2020-06-05,32.7,63,17.6
2020-06-06,32.4,72,19.3
2020-06-07,32.8,70,25.9
2020-06-08,32.9,64,21.7
2020-06-09,32.6,74,24.9
2020-06-10,34.3,66,21.7
2020-06-11,34.3,62,23.5
2020-06-12,33.1,57,21.1
2020-06-13,33.1,57,16.4
2020-06-14,33.0,69,22.1
2020-06-15,32.9,71,22.4
2020-06-16,33.5,63,21.6
2020-06-17,33.4,64,27.0
2020-06-18,33.7,67,27.8
2020-06-19,33.6,65,24.0
2020-06-20,33.4,72,23.0
2020-06-21,32.3,71,22.6
2020-06-22,33.2,58,28.8
2020-06-23,32.6,57,19.4
2020-06-24,33.8,64,25.6
2020-06-25,35.3,58,24.0
2020-06-26,34.4,66,20.2
2020-06-27,35.1,60,26.6
2020-06-28,34.2,66,23.7
2020-06-29,32.9,67,26.4
2020-06-30,33.5,55,20.3
2020-07-01,36.0,55,31.3
2020-07-02,36.5,46,30.6
2020-07-03,35.4,53,24.2
2020-07-04,34.4,60,21.0
2020-07-05,34.1,62,24.1
2020-07-06,33.5,52,20.4
2020-07-07,33.0,64,19.9
2020-07-08,36.7,49,26.9
2020-07-09,35.5,48,21.7
2020-07-10,35.5,50,23.4
2020-07-11,35.9,41,25.5
2020-07-12,36.3,40,23.3
2020-07-13,37.7,40,22.9
2020-07-14,37.0,46,25.1
2020-07-15,35.7,55,24.5
2020-07-16,37.7,42,26.7
2020-07-17,37.7,40,21.9
2020-07-18,36.9,46,22.7
2020-07-19,38.5,40,24.4
2020-07-20,36.1,51,24.4
2020-07-21,36.4,52,26.7
2020-07-22,36.0,45,32.8
2020-07-23,32.9,61,31.5
2020-07-24,33.5,62,22.3
2020-07-25,34.3,58,26.0
2020-07-26,34.8,58,24.7
2020-07-27,34.9,55,23.4
2020-07-28,35.9,50,29.0
2020-07-29,35.5,52,24.6
2020-07-30,34.0,65,20.1
2020-07-31,36.1,49,24.6
2020-08-01,37.4,46,27.0
2020-08-02,36.7,46,23.1
2020-08-03,34.7,56,24.7
2020-08-04,33.7,72,20.1
2020-08-05,33.5,75,21.1
2020-08-06,34.2,71,21.5
2020-08-07,34.5,69,26.7
2020-08-08,34.7,64,25.7
2020-08-09,34.4,55,17.9
2020-08-10,35.2,63,25.0
2020-08-11,36.0,62,25.6
2020-08-12,34.7,72,22.4
2020-08-13,34.1,71,19.9
2020-08-14,34.4,64,18.8
2020-08-15,35.2,68,24.5
2020-08-16,35.1,69,20.9
2020-08-17,34.0,74,22.7
2020-08-18,34.1,72,22.5
2020-08-19,36.3,64,23.3
2020-08-20,34.9,73,23.2
2020-08-21,35.3,63,20.0
2020-08-22,36.3,51,28.4
2020-08-23,35.4,55,33.6
2020-08-24,35.4,55,24.3
2020-08-25,34.6,63,28.2
2020-08-26,35.0,60,26.2
2020-08-27,36.7,46,26.6
2020-08-28,36.3,46,23.1
2020-08-29,35.5,50,20.3
2020-08-30,35.9,56,26.6
2020-08-31,37.0,32,29.3
2020-09-01,34.4,30,23.4
2020-09-02,33.5,43,25.7
2020-09-03,33.4,48,24.0
2020-09-04,33.4,55,24.7
2020-09-05,33.9,51,21.4
2020-09-06,32.9,51,24.9
2020-09-07,32.6,59,26.7
2020-09-08,32.1,70,25.0
2020-09-09,31.7,71,18.4
2020-09-10,32.0,71,18.8
2020-09-11,32.4,68,23.3
2020-09-12,34.1,59,21.3
2020-09-13,34.4,34,22.4
2020-09-14,34.4,32,25.7
2020-09-15,33.5,25,26.4
2020-09-16,32.4,41,25.8
2020-09-17,32.4,58,27.2
2020-09-18,32.3,60,25.3
2020-09-19,31.9,62,27.1
2020-09-20,31.1,69,22.9
2020-09-21,30.6,75,22.9
2020-09-22,31.5,66,26.5
2020-09-23,32.3,58,29.5
2020-09-24,32.6,56,24.5
2020-09-25,31.8,40,26.0
2020-09-26,30.4,71,20.7
2020-09-27,30.3,71,19.7
2020-09-28,30.4,72,18.8
2020-09-29,31.0,66,18.9
2020-09-30,32.1,50,25.2
2020-10-01,31.8,37,25.1
2020-10-02,30.5,48,18.7
2020-10-03,30.0,73,21.9
2020-10-04,30.7,69,21.1
2020-10-05,31.2,68,20.1
2020-10-06,31.0,65,25.0
2020-10-07,31.2,57,25.3
2020-10-08,30.6,67,22.8
2020-10-09,31.0,71,23.5
2020-10-10,30.5,63,26.7
2020-10-11,30.8,54,27.2
2020-10-12,31.3,54,22.6
2020-10-13,30.3,35,28.2
2020-10-14,29.1,31,28.5
2020-10-15,28.2,29,28.8
2020-10-16,27.7,30,25.3
2020-10-17,28.1,31,27.4
2020-10-18,27.7,25,24.7
2020-10-19,27.0,30,23.1
2020-10-20,26.9,44,22.1
2020-10-21,27.4,41,22.7
2020-10-22,27.2,61,19.4
2020-10-23,26.7,68,23.1
2020-10-24,27.0,39,23.4
2020-10-25,27.5,40,23.0
2020-10-26,26.8,45,25.2
2020-10-27,25.9,41,17.8
2020-10-28,26.0,59,23.2
2020-10-29,26.0,66,22.5
2020-10-30,26.0,54,21.4
2020-10-31,26.2,67,20.2
2020-11-01,25.6,74,16.4
2020-11-02,25.9,72,18.0
2020-11-03,26.6,68,22.2
2020-11-04,26.5,70,20.4
2020-11-05,26.0,69,16.6
2020-11-06,25.5,54,22.1
2020-11-07,26.4,57,18.5
2020-11-08,26.7,66,20.0
2020-11-09,27.0,68,19.6
2020-11-10,26.3,76,20.5
2020-11-11,26.5,75,18.4
2020-11-12,27.4,60,19.9
2020-11-13,27.9,59,25.6
2020-11-14,25.8,67,24.3
2020-11-15,26.1,54,23.8
2020-11-16,24.9,63,22.8
2020-11-17,25.1,65,19.6
2020-11-18,25.5,66,22.8
2020-11-19,26.0,55,21.8
2020-11-20,25.1,58,28.2
2020-11-21,25.1,59,19.0
2020-11-22,25.0,58,22.2
2020-11-23,24.8,58,34.0
2020-11-24,24.8,50,32.9
2020-11-25,22.9,55,23.1
2020-11-26,24.1,57,25.6
2020-11-27,24.5,50,27.4
2020-11-28,23.7,60,23.0
2020-11-29,23.4,60,17.3
2020-11-30,22.7,68,17.0
