date,temperature_avg,humidity_avg,wind_speed_max
2020-01-01,19.9,88,9.2
2020-01-02,21.2,84,15.0
2020-01-03,21.4,87,16.3
2020-01-04,21.1,88,18.1
2020-01-05,21.5,86,18.7
2020-01-06,22.0,86,23.3
2020-01-07,22.4,87,11.7
2020-01-08,22.6,84,17.8
2020-01-09,23.0,82,15.0
2020-01-10,23.3,79,19.4
2020-01-11,20.5,83,26.3
2020-01-12,15.6,73,15.4
2020-01-13,18.2,79,11.3
2020-01-14,20.6,88,20.6
2020-01-15,21.7,84,26.8
2020-01-16,20.7,85,20.5
2020-01-17,15.5,79,16.1
2020-01-18,16.3,86,10.5
2020-01-19,14.8,84,17.2
2020-01-20,15.8,84,8.8
2020-01-21,19.4,84,19.4
2020-01-22,21.4,87,19.2
2020-01-23,22.6,86,18.9
2020-01-24,22.0,92,21.3
2020-01-25,16.4,88,24.8
2020-01-26,14.5,65,16.2
2020-01-27,14.0,65,17.7
2020-01-28,14.3,63,16.8
2020-01-29,13.7,68,16.7
2020-01-30,14.4,67,12.2
2020-01-31,15.6,71,17.4
2020-02-01,15.6,88,8.0
2020-02-02,18.9,88,17.4
2020-02-03,17.6,94,20.7
2020-02-04,14.5,88,16.2
2020-02-05,15.5,89,11.7
2020-02-06,18.3,91,7.3
2020-02-07,19.3,96,11.2
2020-02-08,16.9,86,16.5
2020-02-09,14.8,80,17.4
2020-02-10,16.5,76,12.9
2020-02-11,19.5,86,15.6
2020-02-12,21.3,91,15.6
2020-02-13,22.1,93,17.4
2020-02-14,23.8,88,17.9
2020-02-15,24.1,82,30.2
2020-02-16,16.1,51,25.3
2020-02-17,16.5,46,17.2
2020-02-18,16.6,47,11.3
2020-02-19,16.4,70,8.2
2020-02-20,19.0,86,9.0
2020-02-21,20.1,84,16.1
2020-02-22,19.7,81,11.3
2020-02-23,19.8,80,15.3
2020-02-24,20.0,81,14.5
2020-02-25,21.0,83,13.5
2020-02-26,21.6,81,13.8
2020-02-27,21.5,84,15.8
2020-02-28,22.6,81,16.8
2020-02-29,22.8,82,16.9
2020-03-01,23.3,87,16.1
2020-03-02,23.2,87,22.1
2020-03-03,22.5,91,20.6
2020-03-04,17.7,89,26.2
2020-03-05,16.0,84,11.1
2020-03-06,19.3,84,13.3
2020-03-07,21.5,86,12.0
2020-03-08,24.3,86,11.8
2020-03-09,25.1,82,9.4
2020-03-10,22.1,64,22.7
2020-03-11,20.6,71,10.4
2020-03-12,23.2,82,17.1
2020-03-13,24.9,87,16.4
2020-03-14,20.4,79,17.9
2020-03-15,20.0,82,8.0
2020-03-16,22.1,87,13.2
2020-03-17,22.9,93,18.7
2020-03-18,19.7,90,17.1
2020-03-19,19.7,90,15.3
2020-03-20,21.5,84,11.9
2020-03-21,24.0,88,15.2
2020-03-22,25.0,88,15.8
2020-03-23,24.7,86,14.6
2020-03-24,24.2,87,17.9
2020-03-25,24.2,90,20.6
2020-03-26,25.5,86,19.0
2020-03-27,26.4,85,14.3
2020-03-28,23.9,89,18.2
2020-03-29,24.4,88,19.3
2020-03-30,19.9,88,21.3
2020-03-31,19.2,84,17.4
2020-04-01,20.3,84,9.7
2020-04-02,22.0,94,11.6
2020-04-03,23.2,94,16.9
2020-04-04,19.1,91,16.4
2020-04-05,17.8,85,18.0
2020-04-06,18.2,83,13.7
2020-04-07,19.4,80,12.0
2020-04-08,20.9,83,9.7
2020-04-09,22.5,81,13.3
2020-04-10,23.5,86,15.6
2020-04-11,25.4,86,12.5
2020-04-12,19.1,78,26.8
2020-04-13,16.6,78,17.7
2020-04-14,18.0,79,13.3
2020-04-15,20.2,84,16.2
2020-04-16,23.3,88,21.7
2020-04-17,24.5,89,23.5
2020-04-18,25.7,86,19.4
2020-04-19,25.8,87,14.3
