date,temperature_avg,humidity_avg,wind_speed_max
2020-01-01,28.7,52,18.3
2020-01-02,28.6,57,16.0
2020-01-03,28.4,60,14.1
2020-01-04,27.7,65,12.7
2020-01-05,27.5,62,14.7
2020-01-06,27.7,63,15.2
2020-01-07,28.9,61,14.5
2020-01-08,29.7,58,12.9
2020-01-09,28.9,64,15.0
2020-01-10,28.8,59,16.0
2020-01-11,27.9,66,16.0
2020-01-12,27.3,72,17.6
2020-01-13,27.3,66,17.3
2020-01-14,27.0,62,21.5
2020-01-15,27.0,58,17.1
2020-01-16,27.8,63,15.9
2020-01-17,27.9,65,19.4
2020-01-18,27.4,66,17.1
2020-01-19,27.8,59,16.8
2020-01-20,28.1,62,19.1
2020-01-21,28.7,55,19.2
2020-01-22,28.6,58,20.4
2020-01-23,28.5,54,20.0
2020-01-24,28.2,54,24.0
2020-01-25,27.5,66,19.7
2020-01-26,27.4,72,21.0
2020-01-27,26.9,74,21.9
2020-01-28,26.8,72,23.1
2020-01-29,26.6,73,21.1
2020-01-30,27.0,72,16.1
2020-01-31,26.7,64,16.8
2020-02-01,26.6,57,21.7
2020-02-02,26.3,59,18.5
2020-02-03,26.9,59,21.3
2020-02-04,27.6,57,19.6
2020-02-05,27.6,51,18.4
2020-02-06,26.5,53,22.0
2020-02-07,27.0,53,18.9
2020-02-08,27.8,61,11.2
2020-02-09,27.7,55,21.5
2020-02-10,27.7,57,13.0
2020-02-11,28.8,58,21.5
2020-02-12,29.1,59,21.2
2020-02-13,28.3,68,24.4
2020-02-14,27.7,72,22.0
2020-02-15,27.5,73,19.6
2020-02-16,28.4,71,18.6
2020-02-17,28.6,70,20.5
2020-02-18,28.3,64,18.6
2020-02-19,28.2,53,18.4
2020-02-20,28.4,56,17.7
2020-02-21,29.3,51,17.9
2020-02-22,28.3,52,20.9
2020-02-23,28.3,49,21.9
2020-02-24,28.5,49,23.8
2020-02-25,28.5,54,24.4
2020-02-26,29.5,54,23.3
2020-02-27,29.5,51,19.9
2020-02-28,28.8,52,25.5
2020-02-29,28.7,59,22.2
2020-03-01,28.8,62,22.6
2020-03-02,29.0,62,23.8
2020-03-03,29.0,57,22.3
2020-03-04,28.7,61,21.3
2020-03-05,28.7,62,23.4
2020-03-06,28.3,64,20.5
2020-03-07,28.3,68,20.5
2020-03-08,29.1,68,15.3
2020-03-09,29.3,72,14.9
2020-03-10,29.5,72,17.6
2020-03-11,28.8,71,20.6
2020-03-12,29.2,63,24.2
2020-03-13,29.2,67,22.3
2020-03-14,29.2,65,26.2
2020-03-15,29.4,61,26.0
2020-03-16,29.9,58,27.5
2020-03-17,29.7,61,22.0
2020-03-18,29.1,64,23.1
2020-03-19,29.0,67,25.9
2020-03-20,29.0,64,24.0
2020-03-21,29.0,68,23.8
2020-03-22,28.9,68,19.5
2020-03-23,29.0,65,21.7
2020-03-24,28.7,64,21.5
2020-03-25,29.6,65,22.0
2020-03-26,29.4,66,23.2
2020-03-27,29.3,68,20.3
2020-03-28,29.2,68,19.5
2020-03-29,29.5,66,23.7
2020-03-30,29.7,69,17.9
2020-03-31,29.8,71,20.3
2020-04-01,29.9,69,23.8
2020-04-02,30.1,63,21.1
2020-04-03,30.5,61,27.7
2020-04-04,30.7,62,24.2
2020-04-05,30.9,59,27.8
2020-04-06,30.1,65,19.3
2020-04-07,30.0,63,19.0
2020-04-08,28.6,73,18.6
2020-04-09,27.5,85,14.5
2020-04-10,27.8,83,12.9
2020-04-11,28.3,77,16.5
2020-04-12,28.2,80,15.8
2020-04-13,27.0,86,15.5
2020-04-14,27.5,84,11.0
2020-04-15,27.8,80,15.8
2020-04-16,28.4,72,16.3
2020-04-17,28.4,75,15.8
2020-04-18,28.2,80,17.7
2020-04-19,28.9,76,17.3
2020-04-20,28.9,76,20.6
2020-04-21,29.0,76,22.7
2020-04-22,29.3,77,16.3
2020-04-23,30.1,71,18.1
2020-04-24,29.7,72,15.6
2020-04-25,29.7,74,15.1
2020-04-26,29.0,75,16.4
2020-04-27,28.4,78,12.7
2020-04-28,29.3,71,16.5
2020-04-29,30.0,62,16.0
2020-04-30,30.6,58,18.9
2020-05-01,30.5,61,22.3
2020-05-02,30.0,66,19.7
2020-05-03,30.3,70,19.2
2020-05-04,30.4,71,16.8
2020-05-05,30.7,69,18.8
2020-05-06,30.5,69,17.0
2020-05-07,30.8,71,18.8
2020-05-08,30.9,71,19.2
2020-05-09,31.3,69,18.1
2020-05-10,31.2,68,22.7
2020-05-11,31.4,65,16.7
2020-05-12,31.2,67,16.9
2020-05-13,31.1,68,19.2
2020-05-14,31.0,69,17.7
2020-05-15,30.8,70,18.2
2020-05-16,30.6,72,10.5
2020-05-17,30.0,74,8.1
2020-05-18,30.1,75,14.5
2020-05-19,30.0,78,15.3
2020-05-20,28.3,86,13.4
2020-05-21,29.5,82,15.5
2020-05-22,29.4,83,11.9
2020-05-23,28.8,83,14.8
2020-05-24,28.5,85,16.6
2020-05-25,28.3,86,10.9
2020-05-26,30.1,75,11.1
2020-05-27,29.1,81,14.9
2020-05-28,27.8,86,10.2
2020-05-29,28.6,83,15.3
2020-05-30,28.0,86,9.7
2020-05-31,28.8,85,11.4
2020-06-01,28.0,86,14.0
2020-06-02,27.2,86,10.9
2020-06-03,27.8,86,12.0
2020-06-04,27.7,86,15.5
2020-06-05,27.5,87,12.8
2020-06-06,27.8,86,11.9
2020-06-07,28.2,84,11.9
2020-06-08,28.2,84,10.0
2020-06-09,28.4,82,10.5
2020-06-10,26.8,88,10.8
2020-06-11,26.9,89,8.7
2020-06-12,27.8,83,15.0
2020-06-13,27.3,87,17.6
2020-06-14,26.6,90,16.7
2020-06-15,26.8,89,15.5
2020-06-16,27.1,90,16.6
2020-06-17,27.9,86,13.0
2020-06-18,27.5,87,13.1
2020-06-19,27.7,89,10.8
2020-06-20,27.3,88,14.0
2020-06-21,27.3,87,12.4
2020-06-22,27.2,88,14.7
2020-06-23,28.2,83,12.7
2020-06-24,28.0,86,13.6
2020-06-25,26.9,89,14.1
2020-06-26,26.8,87,12.1
2020-06-27,27.2,85,11.7
2020-06-28,26.7,86,17.8
2020-06-29,26.0,91,13.8
2020-06-30,26.1,90,13.6
2020-07-01,26.8,89,17.3
2020-07-02,27.1,87,14.4
2020-07-03,26.3,90,15.3
2020-07-04,27.1,80,15.6
2020-07-05,27.4,82,8.6
2020-07-06,26.4,90,15.6
2020-07-07,27.7,84,17.1
2020-07-08,27.1,88,10.5
2020-07-09,28.1,84,9.7
2020-07-10,27.2,88,13.6
2020-07-11,27.0,87,15.5
2020-07-12,26.9,86,14.0
2020-07-13,26.5,89,12.4
2020-07-14,27.7,85,11.7
2020-07-15,27.1,85,10.0
2020-07-16,27.8,86,12.9
2020-07-17,27.9,87,11.7
2020-07-18,27.7,86,14.7
2020-07-19,27.9,85,11.5
2020-07-20,27.8,86,10.2
2020-07-21,27.2,89,12.0
2020-07-22,28.1,85,10.7
2020-07-23,27.6,85,10.4
2020-07-24,26.8,89,9.0
2020-07-25,27.3,87,11.4
2020-07-26,27.8,84,10.3
2020-07-27,27.7,86,13.4
2020-07-28,27.1,88,19.1
2020-07-29,27.1,87,16.6
2020-07-30,27.2,87,15.4
2020-07-31,26.8,88,20.0
2020-08-01,26.0,91,22.9
2020-08-02,26.7,88,28.9
2020-08-03,26.5,90,23.7
2020-08-04,26.5,88,16.1
2020-08-05,26.4,89,12.5
2020-08-06,26.2,89,13.0
2020-08-07,26.9,86,15.1
2020-08-08,26.7,90,20.9
2020-08-09,27.1,87,14.7
2020-08-10,27.1,87,21.3
2020-08-11,27.7,85,19.1
2020-08-12,27.4,87,13.6
2020-08-13,26.5,89,12.6
2020-08-14,26.4,88,11.2
2020-08-15,26.9,83,13.4
2020-08-16,27.8,82,12.9
2020-08-17,27.4,87,15.2
2020-08-18,27.4,85,13.3
2020-08-19,27.2,83,18.2
2020-08-20,27.2,85,9.3
2020-08-21,28.1,83,10.5
2020-08-22,28.5,80,13.0
2020-08-23,28.0,83,12.2
2020-08-24,27.8,84,14.4
2020-08-25,28.6,83,14.0
2020-08-26,28.8,82,14.0
2020-08-27,28.8,81,17.8
2020-08-28,28.5,80,18.5
2020-08-29,28.2,84,15.6
2020-08-30,28.0,85,12.3
2020-08-31,28.2,83,15.2
2020-09-01,27.6,86,10.5
2020-09-02,28.1,83,16.4
2020-09-03,27.9,84,10.9
2020-09-04,27.5,86,17.6
2020-09-05,28.1,85,11.1
2020-09-06,27.5,84,10.5
2020-09-07,27.8,86,12.6
2020-09-08,28.0,85,11.6
2020-09-09,27.8,87,12.9
2020-09-10,27.4,86,11.8
