date,temperature_avg,humidity_avg,wind_speed_max
2020-01-01,11.7,64.0,11.7
2020-01-02,11.4,84.0,14.0
2020-01-03,14.9,55.0,9.0
2020-01-04,13.5,65.0,9.6
2020-01-05,12.3,67.0,9.0
2020-01-06,11.8,57.0,8.1
2020-01-07,12.4,57.0,8.8
2020-01-08,11.1,78.0,18.6
2020-01-09,10.6,78.0,13.4
2020-01-10,9.8,75.0,8.9
2020-01-11,10.4,78.0,9.8
2020-01-12,10.5,83.0,11.6
2020-01-13,10.4,78.0,13.6
2020-01-14,10.8,77.0,8.4
2020-01-15,11.3,78.0,10.7
2020-01-16,10.2,85.0,15.9
2020-01-17,11.2,78.0,14.6
2020-01-18,11.0,61.0,7.9
2020-01-19,12.4,55.0,7.4
2020-01-20,13.0,75.0,10.5
2020-01-21,12.8,84.0,14.0
2020-01-22,11.6,85.0,9.8
2020-01-23,13.9,68.0,9.9
2020-01-24,15.1,57.0,12.2
2020-01-25,13.4,73.0,9.8
2020-01-26,12.2,91.0,15.5
2020-01-27,13.7,71.0,14.5
2020-01-28,14.4,48.0,18.6
2020-01-29,14.9,37.0,13.0
2020-01-30,14.8,27.0,12.6
2020-01-31,16.9,35.0,13.8
2020-02-01,19.3,27.0,10.0
2020-02-02,16.7,48.0,15.9
2020-02-03,12.1,19.0,37.4
2020-02-04,8.9,17.0,20.7
2020-02-05,9.4,29.0,13.9
2020-02-06,11.0,43.0,14.3
2020-02-07,12.7,55.0,10.5
2020-02-08,12.4,72.0,15.8
2020-02-09,11.7,80.0,17.3
2020-02-10,14.1,41.0,17.4
2020-02-11,13.8,36.0,19.2
2020-02-12,12.7,51.0,12.1
2020-02-13,12.9,63.0,16.2
2020-02-14,13.5,59.0,18.8
2020-02-15,12.9,66.0,13.0
2020-02-16,13.5,65.0,14.3
2020-02-17,13.9,65.0,11.7
2020-02-18,14.5,71.0,17.1
2020-02-19,15.1,76.0,14.3
2020-02-20,17.2,44.0,14.7
2020-02-21,18.0,42.0,15.5
2020-02-22,14.1,77.0,16.1
2020-02-23,13.8,79.0,16.6
2020-02-24,13.0,80.0,11.2
2020-02-25,16.9,45.0,14.8
2020-02-26,17.2,25.0,16.7
2020-02-27,19.6,25.0,11.0
2020-02-28,21.4,22.0,21.6
2020-02-29,16.5,58.0,16.9
2020-03-01,13.0,67.0,22.0
2020-03-02,14.7,44.0,23.3
2020-03-03,18.0,26.0,28.4
2020-03-04,15.6,62.0,17.0
2020-03-05,16.2,72.0,17.9
2020-03-06,15.2,77.0,17.5
2020-03-07,13.5,75.0,22.4
2020-03-08,13.6,68.0,19.4
2020-03-09,15.2,52.0,31.9
2020-03-10,15.0,87.0,21.7
2020-03-11,15.7,82.0,10.7
2020-03-12,13.9,86.0,25.0
2020-03-13,12.8,91.0,13.7
2020-03-14,12.8,88.0,11.8
2020-03-15,13.1,77.0,18.2
2020-03-16,12.1,81.0,27.8
2020-03-17,9.9,79.0,10.3
2020-03-18,9.9,69.0,21.8
2020-03-19,10.7,80.0,15.1
2020-03-20,12.6,77.0,12.7
2020-03-21,13.7,77.0,14.7
2020-03-22,13.7,78.0,15.7
2020-03-23,13.4,82.0,19.8
2020-03-24,12.6,80.0,16.6
2020-03-25,12.6,75.0,21.5
2020-03-26,10.1,67.0,26.0
2020-03-27,10.4,66.0,25.6
2020-03-28,12.4,66.0,15.8
2020-03-29,12.7,76.0,18.2
2020-03-30,13.8,72.0,19.1
2020-03-31,17.4,54.0,17.3
2020-04-01,16.1,70.0,17.7
2020-04-02,16.4,69.0,20.9
2020-04-03,15.3,68.0,19.3
2020-04-04,15.1,73.0,20.1
2020-04-05,14.4,70.0,18.1
2020-04-06,13.1,85.0,18.3
2020-04-07,12.2,87.0,20.0
2020-04-08,11.4,82.0,14.8
2020-04-09,10.5,87.0,17.1
2020-04-10,11.5,77.0,19.5
2020-04-11,13.2,82.0,19.1
2020-04-12,13.7,86.0,14.8
2020-04-13,13.9,84.0,19.3
2020-04-14,14.9,81.0,18.3
2020-04-15,16.4,57.0,17.3
2020-04-16,15.5,75.0,15.0
2020-04-17,14.4,81.0,13.6
2020-04-18,14.8,78.0,19.9
2020-04-19,14.2,77.0,18.0
2020-04-20,14.6,79.0,15.3
2020-04-21,16.5,72.0,25.7
2020-04-22,19.9,56.0,27.9
2020-04-23,23.3,43.0,20.9
2020-04-24,25.3,40.0,21.3
2020-04-25,24.1,47.0,16.1
2020-04-26,22.4,57.0,17.7
2020-04-27,20.9,63.0,18.5
2020-04-28,20.9,66.0,18.6
2020-04-29,19.0,79.0,18.1
2020-04-30,18.7,78.0,17.6
2020-05-01,19.8,69.0,17.2
2020-05-02,19.1,69.0,21.2
2020-05-03,18.4,70.0,21.8
2020-05-04,19.7,62.0,16.3
2020-05-05,24.2,38.0,19.6
2020-05-06,25.3,30.0,21.0
2020-05-07,25.4,35.0,19.8
2020-05-08,22.2,63.0,17.9
2020-05-09,19.6,73.0,16.8
2020-05-10,17.9,75.0,17.4
2020-05-11,17.8,68.0,20.6
2020-05-12,17.1,67.0,26.7
2020-05-13,18.1,62.0,19.3
2020-05-14,19.1,63.0,28.3
2020-05-15,20.0,64.0,19.6
2020-05-16,21.2,56.0,18.9
2020-05-17,20.4,66.0,18.6
2020-05-18,17.9,76.0,22.7
2020-05-19,16.9,65.0,22.4
2020-05-20,17.7,64.0,23.6
2020-05-21,21.0,47.0,21.8
2020-05-22,19.1,68.0,19.5
2020-05-23,18.6,66.0,21.3
