date,temperature_avg,humidity_avg,wind_speed_max
2020-01-01,-1.2,80,29.0
2020-01-02,0.4,87,23.2
2020-01-03,1.1,90,21.9
2020-01-04,-1.0,86,22.4
2020-01-05,0.2,81,19.9
2020-01-06,-1.7,77,12.5
2020-01-07,-1.6,81,15.6
2020-01-08,-0.1,88,22.9
2020-01-09,0.5,88,26.3
2020-01-10,0.3,87,17.2
2020-01-11,-1.1,93,14.4
2020-01-12,-1.9,87,30.8
2020-01-13,1.1,91,26.2
2020-01-14,-0.6,93,17.9
2020-01-15,0.8,88,31.6
2020-01-16,2.8,88,29.8
2020-01-17,2.3,90,16.8
2020-01-18,-0.1,92,18.8
2020-01-19,-0.4,84,17.7
2020-01-20,1.7,86,22.9
2020-01-21,2.2,86,30.3
2020-01-22,0.0,75,29.3
2020-01-23,-3.7,66,29.7
2020-01-24,-1.7,83,27.2
2020-01-25,0.7,88,29.7
2020-01-26,-0.7,73,30.3
2020-01-27,-0.8,78,29.6
2020-01-28,-4.5,82,23.0
2020-01-29,0.0,95,14.6
2020-01-30,-0.6,95,20.0
2020-01-31,-1.3,93,10.2
2020-02-01,-1.7,95,10.2
2020-02-02,0.4,95,21.8
2020-02-03,1.3,91,23.0
2020-02-04,-2.6,78,28.8
2020-02-05,-5.4,75,26.2
2020-02-06,-5.5,76,30.0
2020-02-07,-9.1,75,31.0
2020-02-08,-10.2,77,18.3
2020-02-09,-5.0,82,23.2
2020-02-10,-1.2,78,34.0
2020-02-11,-0.3,88,30.7
2020-02-12,-0.2,92,24.0
2020-02-13,-2.8,87,15.6
2020-02-14,-2.3,87,17.3
2020-02-15,-4.6,85,12.2
2020-02-16,-0.7,87,25.3
2020-02-17,3.0,80,33.9
2020-02-18,4.0,85,23.1
2020-02-19,2.0,85,25.2
2020-02-20,1.5,82,17.7
2020-02-21,1.4,81,14.0
2020-02-22,1.9,77,31.0
2020-02-23,1.5,81,36.8
2020-02-24,1.1,79,22.4
2020-02-25,-1.3,70,24.8
2020-02-26,-1.2,89,21.9
2020-02-27,1.5,98,15.7
2020-02-28,0.6,79,18.6
2020-02-29,-1.2,72,28.9
2020-03-01,1.5,69,30.9
2020-03-02,3.0,90,25.7
2020-03-03,2.9,90,20.3
2020-03-04,4.0,91,21.3
2020-03-05,4.6,82,33.9
2020-03-06,5.4,78,28.8
2020-03-07,7.0,82,22.4
2020-03-08,5.9,86,16.9
2020-03-09,4.9,77,13.7
2020-03-10,5.9,88,19.7
2020-03-11,6.0,93,15.0
2020-03-12,5.9,72,33.3
2020-03-13,4.8,69,47.3
2020-03-14,3.0,72,34.6
2020-03-15,-3.2,55,31.1
2020-03-16,-0.3,53,26.0
2020-03-17,3.1,52,20.9
2020-03-18,5.2,65,26.1
2020-03-19,7.6,57,31.8
2020-03-20,2.5,70,26.3
2020-03-21,-1.2,66,18.8
2020-03-22,-3.2,45,25.2
2020-03-23,-2.7,47,23.7
2020-03-24,-1.4,45,23.5
2020-03-25,2.5,46,21.7
2020-03-26,5.9,47,19.4
2020-03-27,6.4,59,11.3
2020-03-28,8.5,65,15.9
2020-03-29,8.7,60,19.1
2020-03-30,0.6,72,26.7
2020-03-31,-2.8,59,30.4
2020-04-01,-1.0,51,32.4
2020-04-02,2.4,75,26.8
