date,temperature_avg,humidity_avg,wind_speed_max
2020-01-01,21.0,75,13.2
2020-01-02,22.0,77,16.1
2020-01-03,22.0,75,23.5
2020-01-04,21.7,67,21.4
2020-01-05,23.3,66,16.8
2020-01-06,24.8,63,17.1
2020-01-07,24.0,76,18.9
2020-01-08,23.9,76,17.3
2020-01-09,22.8,59,23.4
2020-01-10,23.8,61,19.1
2020-01-11,25.5,66,15.5
2020-01-12,24.9,73,17.3
2020-01-13,24.1,85,17.0
2020-01-14,23.3,79,21.5
2020-01-15,22.1,63,22.0
2020-01-16,20.4,64,21.1
2020-01-17,19.6,56,24.4
2020-01-18,21.4,62,17.9
2020-01-19,23.2,64,16.8
2020-01-20,23.7,71,16.6
2020-01-21,23.6,73,16.6
2020-01-22,24.4,65,18.7
2020-01-23,25.7,62,22.2
2020-01-24,25.5,66,19.6
2020-01-25,25.2,64,20.3
2020-01-26,24.6,71,15.5
2020-01-27,23.9,77,15.1
2020-01-28,23.0,79,18.8
2020-01-29,22.0,63,21.9
2020-01-30,21.2,60,21.1
2020-01-31,21.2,62,20.7
2020-02-01,22.5,61,22.2
2020-02-02,23.1,73,15.2
2020-02-03,22.8,81,14.1
2020-02-04,23.3,70,19.1
2020-02-05,23.2,52,20.0
2020-02-06,22.7,61,18.7
2020-02-07,21.7,59,22.9
2020-02-08,22.8,63,25.8
2020-02-09,24.8,52,27.4
2020-02-10,25.9,56,19.6
2020-02-11,26.9,59,17.3
2020-02-12,28.1,56,17.1
2020-02-13,28.0,54,23.1
2020-02-14,27.8,43,22.2
2020-02-15,25.7,47,22.3
2020-02-16,25.2,61,17.9
2020-02-17,26.4,61,16.3
2020-02-18,27.3,57,19.3
2020-02-19,26.2,69,16.3
2020-02-20,25.3,74,19.2
2020-02-21,25.1,70,20.4
2020-02-22,25.8,58,18.6
2020-02-23,26.6,51,20.7
2020-02-24,25.7,54,22.1
2020-02-25,27.3,38,25.7
2020-02-26,27.3,37,22.2
2020-02-27,26.5,47,18.2
2020-02-28,25.7,54,19.4
2020-02-29,25.6,61,22.4
2020-03-01,25.1,69,21.2
2020-03-02,24.5,78,15.8
2020-03-03,24.5,80,15.7
2020-03-04,24.6,76,18.0
2020-03-05,24.5,75,18.8
2020-03-06,25.0,68,20.3
2020-03-07,24.1,66,18.2
2020-03-08,23.4,67,18.6
2020-03-09,23.8,74,19.0
2020-03-10,24.6,75,15.6
2020-03-11,24.7,65,21.1
2020-03-12,23.7,71,20.1
2020-03-13,23.3,62,27.1
2020-03-14,24.8,50,27.7
2020-03-15,26.3,40,18.1
2020-03-16,27.4,45,21.1
