date,temperature_avg,humidity_avg,wind_speed_max
2020-01-01,2.2,60,28.2
2020-01-02,2.4,71,17.3
2020-01-03,6.5,88,12.4
2020-01-04,7.7,97,24.9
2020-01-05,2.7,61,37.1
2020-01-06,2.8,66,25.9
2020-01-07,2.5,64,18.9
2020-01-08,0.9,65,33.1
2020-01-09,-2.2,49,23.2
2020-01-10,4.9,80,24.8
2020-01-11,13.8,78,34.2
2020-01-12,14.7,70,45.6
2020-01-13,4.8,82,18.4
2020-01-14,4.1,91,15.3
2020-01-15,5.7,81,16.1
2020-01-16,5.6,69,38.8
2020-01-17,-3.1,43,34.9
2020-01-18,-3.2,57,24.2
2020-01-19,2.8,68,28.7
2020-01-20,-4.0,46,26.1
2020-01-21,-3.5,50,17.4
2020-01-22,-2.3,64,9.4
2020-01-23,-0.0,66,9.9
2020-01-24,2.8,67,12.7
2020-01-25,5.0,94,34.2
2020-01-26,3.9,76,22.7
2020-01-27,3.2,69,22.3
2020-01-28,2.9,62,22.4
2020-01-29,0.6,59,19.0
2020-01-30,-2.0,68,16.3
2020-01-31,2.1,82,11.9
2020-02-01,2.5,94,6.6
2020-02-02,2.7,84,20.3
2020-02-03,5.7,76,18.5
2020-02-04,7.0,91,17.6
2020-02-05,4.9,70,21.3
2020-02-06,4.3,93,19.1
2020-02-07,5.0,81,46.6
2020-02-08,0.9,53,26.2
2020-02-09,1.3,81,13.2
2020-02-10,5.5,87,25.5
2020-02-11,6.2,97,16.3
2020-02-12,4.3,62,23.3
2020-02-13,4.2,92,21.4
2020-02-14,-1.1,51,27.2
2020-02-15,-5.6,53,20.9
2020-02-16,1.5,67,16.8
2020-02-17,3.6,68,15.3
2020-02-18,4.4,84,17.7
2020-02-19,4.8,60,24.7
2020-02-20,-0.4,53,19.4
2020-02-21,-2.7,46,19.4
2020-02-22,1.7,46,22.0
2020-02-23,4.2,48,18.2
2020-02-24,5.3,64,14.8
2020-02-25,7.3,84,11.8
2020-02-26,7.2,91,20.9
2020-02-27,4.3,64,39.9
2020-02-28,0.5,44,34.8
2020-02-29,-1.2,45,30.5
2020-03-01,-0.1,52,22.7
2020-03-02,6.3,64,29.2
2020-03-03,9.4,87,25.5
2020-03-04,8.7,56,34.3
2020-03-05,5.3,62,19.7
2020-03-06,4.0,87,21.4
2020-03-07,3.8,56,28.0
2020-03-08,5.4,47,21.3
2020-03-09,11.3,45,21.4
2020-03-10,12.4,67,28.0
2020-03-11,8.3,66,26.4
2020-03-12,5.8,81,18.4
2020-03-13,12.5,71,35.3
2020-03-14,8.3,44,22.7
2020-03-15,6.8,52,13.6
2020-03-16,2.9,57,22.3
2020-03-17,6.9,82,19.1
2020-03-18,6.2,66,18.7
2020-03-19,8.2,84,20.9
2020-03-20,14.6,79,36.7
2020-03-21,8.4,46,26.4
2020-03-22,2.5,52,21.9
2020-03-23,2.9,86,27.6
2020-03-24,6.5,70,21.2
2020-03-25,5.2,77,26.7
2020-03-26,6.6,74,21.3
2020-03-27,12.0,61,16.7
2020-03-28,7.8,78,17.6
2020-03-29,8.6,93,23.7
2020-03-30,7.6,88,13.8
2020-03-31,5.9,81,17.4
2020-04-01,6.9,60,19.1
2020-04-02,8.3,50,34.5
2020-04-03,8.3,77,29.8
2020-04-04,9.5,76,19.7
2020-04-05,10.1,83,17.6
2020-04-06,11.8,62,17.4
2020-04-07,11.6,52,22.4
2020-04-08,12.9,77,18.2
2020-04-09,9.9,75,33.6
2020-04-10,6.3,52,39.1
2020-04-11,6.8,44,28.7
2020-04-12,9.5,66,28.8
2020-04-13,14.9,85,50.9
2020-04-14,10.2,51,23.6
2020-04-15,7.4,53,25.2
2020-04-16,6.2,45,27.9
2020-04-17,4.9,60,21.1
2020-04-18,6.3,80,26.1
2020-04-19,8.7,56,31.6
2020-04-20,9.3,59,21.5
2020-04-21,8.9,72,27.8
2020-04-22,5.1,42,31.7
2020-04-23,5.5,56,15.1
2020-04-24,7.2,92,25.7
2020-04-25,9.3,73,18.1
2020-04-26,7.9,85,36.7
2020-04-27,6.2,79,27.0
2020-04-28,9.4,67,22.4
2020-04-29,8.8,82,25.8
2020-04-30,12.7,89,43.5
2020-05-01,14.0,87,21.1
2020-05-02,15.2,55,26.7
2020-05-03,17.7,64,19.0
2020-05-04,15.1,59,31.6
2020-05-05,10.6,50,21.4
2020-05-06,8.7,77,19.3
2020-05-07,11.7,56,23.1
2020-05-08,8.6,70,13.8
2020-05-09,4.7,51,36.7
2020-05-10,9.4,50,30.5
2020-05-11,10.3,71,25.6
2020-05-12,9.3,50,30.5
2020-05-13,9.4,49,25.1
2020-05-14,11.6,61,18.7
2020-05-15,20.3,70,23.5
2020-05-16,19.2,66,23.1
2020-05-17,13.4,74,18.4
2020-05-18,14.9,69,20.2
2020-05-19,14.2,54,32.0
2020-05-20,12.3,56,20.9
2020-05-21,11.5,77,16.7
2020-05-22,16.4,81,19.4
2020-05-23,16.2,93,27.9
2020-05-24,13.9,68,19.1
2020-05-25,15.3,85,12.2
2020-05-26,16.8,90,15.3
2020-05-27,17.5,92,19.7
2020-05-28,18.9,93,27.4
2020-05-29,22.2,88,20.3
2020-05-30,22.3,66,19.4
2020-05-31,16.4,48,29.7
2020-06-01,14.8,54,22.6
2020-06-02,17.6,58,23.4
2020-06-03,21.3,75,21.7
2020-06-04,22.8,73,21.8
2020-06-05,21.7,90,16.6
2020-06-06,24.2,73,23.7
2020-06-07,20.0,55,28.0
2020-06-08,19.3,58,16.6
2020-06-09,22.9,61,18.0
2020-06-10,23.0,77,26.9
2020-06-11,24.0,84,26.2
2020-06-12,23.7,60,19.3
2020-06-13,18.9,51,23.6
2020-06-14,16.8,60,21.0
2020-06-15,17.9,71,18.4
2020-06-16,18.6,69,21.8
2020-06-17,18.9,77,18.5
2020-06-18,19.9,89,15.7
2020-06-19,21.4,86,17.5
2020-06-20,22.8,84,18.2
2020-06-21,23.5,82,18.7
2020-06-22,25.3,76,21.6
2020-06-23,24.3,78,25.4
2020-06-24,25.6,63,23.7
2020-06-25,23.5,59,23.3
2020-06-26,24.2,59,14.6
2020-06-27,23.3,75,24.3
2020-06-28,24.2,81,17.3
2020-06-29,24.2,73,18.7
2020-06-30,22.2,77,14.0
2020-07-01,22.7,82,11.6
2020-07-02,25.4,72,13.7
2020-07-03,26.3,70,12.3
2020-07-04,23.7,80,18.2
2020-07-05,26.0,72,22.3
2020-07-06,26.1,67,18.2
2020-07-07,24.0,84,21.9
2020-07-08,25.1,86,20.2
2020-07-09,25.4,83,20.6
2020-07-10,23.3,95,38.5
2020-07-11,25.0,86,32.2
2020-07-12,25.8,64,21.4
2020-07-13,25.8,65,17.9
2020-07-14,24.5,65,15.0
2020-07-15,23.0,79,18.5
2020-07-16,22.0,73,22.5
2020-07-17,24.1,80,16.1
2020-07-18,26.2,71,17.6
2020-07-19,27.5,70,29.4
2020-07-20,29.8,63,20.2
2020-07-21,26.9,64,21.5
2020-07-22,27.4,78,21.4
2020-07-23,25.9,85,18.9
2020-07-24,24.1,87,19.2
2020-07-25,25.6,81,15.0
2020-07-26,28.1,64,22.4
2020-07-27,28.9,53,19.8
2020-07-28,29.0,64,20.1
2020-07-29,27.1,71,18.4
2020-07-30,27.9,62,12.9
2020-07-31,24.5,81,10.6
2020-08-01,25.2,72,20.5
2020-08-02,26.4,84,20.5
2020-08-03,27.1,67,20.8
2020-08-04,24.5,85,60.4
2020-08-05,25.7,69,19.5
2020-08-06,22.2,78,13.8
2020-08-07,23.7,77,13.9
2020-08-08,23.4,87,13.5
2020-08-09,24.9,83,19.2
2020-08-10,26.8,79,18.1
2020-08-11,26.6,83,22.2
2020-08-12,26.8,84,11.6
