date,temperature_avg,humidity_avg,wind_speed_max
2020-01-01,3.1,98,11.7
2020-01-02,7.3,95,18.0
2020-01-03,9.9,88,25.2
2020-01-04,6.3,87,16.1
2020-01-05,5.8,92,8.6
2020-01-06,3.4,90,17.1
2020-01-07,8.1,92,18.7
2020-01-08,11.3,94,18.2
2020-01-09,11.6,91,25.9
2020-01-10,7.8,86,25.1
2020-01-11,4.8,82,15.6
2020-01-12,6.2,87,22.4
2020-01-13,8.5,91,27.6
2020-01-14,10.2,68,35.5
2020-01-15,10.1,71,29.8
2020-01-16,8.5,85,21.9
2020-01-17,9.4,75,24.5
2020-01-18,5.0,83,18.9
2020-01-19,3.2,84,22.4
2020-01-20,2.7,87,19.8
2020-01-21,0.7,89,11.0
2020-01-22,-0.8,91,13.9
2020-01-23,0.4,88,12.7
2020-01-24,-0.4,93,7.6
2020-01-25,0.6,98,10.2
2020-01-26,5.0,94,21.3
2020-01-27,8.6,90,29.5
2020-01-28,6.2,79,36.7
2020-01-29,6.4,81,26.0
2020-01-30,8.3,92,26.1
2020-01-31,12.0,88,23.4
2020-02-01,12.5,85,27.3
2020-02-02,12.8,90,30.0
2020-02-03,12.3,85,37.4
2020-02-04,6.7,76,30.4
2020-02-05,6.4,79,18.7
2020-02-06,3.9,82,10.1
2020-02-07,5.2,77,14.8
2020-02-08,8.7,86,19.2
2020-02-09,9.7,84,49.1
2020-02-10,10.1,73,48.7
2020-02-11,6.5,73,36.0
2020-02-12,5.9,72,28.6
2020-02-13,8.2,78,41.7
2020-02-14,9.3,75,23.4
2020-02-15,10.3,80,32.1
2020-02-16,13.9,69,44.3
2020-02-17,9.2,74,29.7
2020-02-18,7.2,74,26.0
2020-02-19,7.4,80,30.6
2020-02-20,8.8,84,32.8
2020-02-21,6.1,74,19.0
2020-02-22,8.3,78,25.0
2020-02-23,11.3,84,33.8
2020-02-24,11.7,83,31.2
2020-02-25,8.7,81,28.5
2020-02-26,4.5,79,31.8
2020-02-27,5.4,78,49.1
2020-02-28,5.2,83,27.4
2020-02-29,9.3,76,48.1
2020-03-01,6.3,83,28.7
2020-03-02,6.6,85,26.4
2020-03-03,5.1,80,18.0
2020-03-04,5.5,87,20.9
2020-03-05,9.0,91,42.3
2020-03-06,6.6,77,37.2
2020-03-07,6.7,77,17.6
2020-03-08,9.0,84,35.4
