date,temperature_avg,humidity_avg,wind_speed_max
2020-01-01,3.6,75,9.6
2020-01-02,4.1,84,11.4
2020-01-03,4.7,85,10.2
2020-01-04,6.4,85,8.6
2020-01-05,6.3,76,16.6
2020-01-06,4.7,63,18.6
2020-01-07,2.7,76,8.5
2020-01-08,5.9,76,9.7
2020-01-09,3.8,79,8.6
2020-01-10,5.3,79,9.5
2020-01-11,5.7,78,9.2
2020-01-12,5.1,83,10.8
2020-01-13,5.3,81,8.0
2020-01-14,7.0,79,8.0
2020-01-15,5.3,77,8.1
2020-01-16,5.4,79,8.7
2020-01-17,5.6,84,8.8
2020-01-18,7.9,90,16.6
2020-01-19,7.1,86,10.2
2020-01-20,7.9,64,11.8
2020-01-21,6.8,78,10.5
2020-01-22,6.7,82,8.3
2020-01-23,6.4,82,8.4
2020-01-24,7.2,83,16.3
2020-01-25,11.0,84,17.0
2020-01-26,8.8,86,8.1
2020-01-27,7.8,88,10.0
2020-01-28,11.7,85,19.3
2020-01-29,10.8,85,11.2
2020-01-30,8.4,83,12.0
2020-01-31,11.6,82,11.0
2020-02-01,11.4,88,12.7
2020-02-02,12.7,88,9.8
2020-02-03,13.7,82,8.6
2020-02-04,13.1,80,37.0
2020-02-05,7.9,52,34.2
2020-02-06,7.0,43,29.5
2020-02-07,4.1,68,11.0
2020-02-08,5.5,71,10.0
2020-02-09,7.3,79,13.1
2020-02-10,11.8,86,20.1
2020-02-11,13.7,83,16.0
2020-02-12,10.9,82,11.5
2020-02-13,9.3,80,19.5
2020-02-14,12.1,74,20.5
2020-02-15,8.7,71,11.0
2020-02-16,8.3,81,11.6
2020-02-17,8.6,83,10.7
2020-02-18,10.0,86,9.1
2020-02-19,9.8,88,11.3
2020-02-20,9.1,71,15.6
2020-02-21,7.5,76,10.1
2020-02-22,8.1,77,13.9
2020-02-23,9.4,82,13.4
2020-02-24,11.8,83,10.7
2020-02-25,12.5,78,18.7
2020-02-26,12.1,69,38.6
2020-02-27,8.6,59,19.5
2020-02-28,11.9,65,23.2
2020-02-29,8.9,66,19.4
2020-03-01,12.7,79,30.1
2020-03-02,13.0,85,35.7
2020-03-03,11.0,73,31.2
2020-03-04,8.7,77,12.7
2020-03-05,8.7,72,16.9
2020-03-06,12.4,78,30.4
2020-03-07,9.5,82,10.9
2020-03-08,9.7,64,22.2
2020-03-09,8.1,71,10.1
2020-03-10,9.5,72,14.4
2020-03-11,10.1,75,13.0
2020-03-12,11.6,82,13.7
2020-03-13,12.2,86,9.7
2020-03-14,13.0,85,7.8
2020-03-15,12.5,72,18.9
2020-03-16,10.7,64,15.2
2020-03-17,10.6,77,16.4
2020-03-18,11.8,75,14.2
2020-03-19,11.5,73,14.8
2020-03-20,12.0,70,14.6
2020-03-21,11.9,69,13.2
2020-03-22,13.3,71,15.8
2020-03-23,9.3,48,28.8
2020-03-24,5.4,45,24.2
2020-03-25,6.2,54,19.5
2020-03-26,7.1,88,24.7
2020-03-27,10.0,85,17.4
2020-03-28,10.6,84,12.7
2020-03-29,11.4,84,13.0
2020-03-30,11.7,83,10.6
2020-03-31,10.6,77,23.5
2020-04-01,7.7,52,27.0
2020-04-02,7.0,65,10.1
2020-04-03,9.3,72,18.7
2020-04-04,11.1,58,23.7
2020-04-05,12.9,50,23.2
2020-04-06,13.4,58,17.9
2020-04-07,13.2,63,17.8
2020-04-08,13.3,64,14.9
2020-04-09,13.5,66,17.1
2020-04-10,13.9,68,17.9
2020-04-11,14.5,67,19.1
2020-04-12,15.2,71,15.6
2020-04-13,15.3,68,19.5
2020-04-14,13.3,74,18.0
2020-04-15,12.6,56,26.1
2020-04-16,12.2,73,14.3
2020-04-17,13.8,74,14.5
2020-04-18,14.9,84,16.0
2020-04-19,16.4,82,15.0
2020-04-20,16.5,95,10.6
2020-04-21,16.3,88,9.6
2020-04-22,14.4,91,12.3
2020-04-23,15.2,79,12.7
2020-04-24,14.3,76,14.7
2020-04-25,14.8,77,18.2
2020-04-26,14.7,75,16.1
2020-04-27,15.1,78,15.9
2020-04-28,15.3,87,21.0
2020-04-29,16.2,80,20.6
2020-04-30,15.0,76,20.0
2020-05-01,17.4,72,19.5
2020-05-02,18.5,72,18.4
2020-05-03,18.1,67,20.5
2020-05-04,15.5,65,16.2
2020-05-05,16.4,62,15.1
2020-05-06,18.4,66,14.3
2020-05-07,17.9,62,22.3
2020-05-08,17.1,63,15.8
2020-05-09,17.2,61,14.7
2020-05-10,19.9,53,13.3
2020-05-11,18.7,62,21.5
2020-05-12,19.4,68,20.1
2020-05-13,21.4,53,31.4
2020-05-14,23.9,48,21.6
2020-05-15,20.7,60,15.9
2020-05-16,21.8,52,23.8
2020-05-17,23.9,55,28.2
2020-05-18,22.5,63,19.8
2020-05-19,20.6,69,17.7
2020-05-20,18.5,79,16.2
2020-05-21,20.8,52,21.3
2020-05-22,19.7,52,23.9
2020-05-23,20.9,60,18.3
2020-05-24,21.2,57,15.8
2020-05-25,21.1,63,22.5
2020-05-26,20.8,44,22.0
2020-05-27,19.5,37,17.3
2020-05-28,18.6,48,25.4
2020-05-29,16.3,76,13.6
2020-05-30,15.8,73,16.6
2020-05-31,17.1,69,18.3
2020-06-01,18.3,67,17.6
2020-06-02,18.8,67,16.7
2020-06-03,19.9,66,17.7
2020-06-04,20.4,67,29.8
2020-06-05,19.2,79,30.9
2020-06-06,19.4,70,21.1
2020-06-07,20.2,72,21.3
2020-06-08,20.6,73,21.4
2020-06-09,19.6,71,20.4
2020-06-10,17.8,75,24.0
2020-06-11,16.9,82,17.4
2020-06-12,18.2,74,15.5
2020-06-13,19.7,76,22.6
2020-06-14,19.8,79,20.4
2020-06-15,20.5,77,15.1
2020-06-16,20.5,78,17.4
2020-06-17,19.9,82,17.9
2020-06-18,20.6,73,17.0
2020-06-19,20.2,71,16.0
2020-06-20,21.7,66,17.2
2020-06-21,21.5,62,18.0
2020-06-22,23.1,59,16.6
2020-06-23,24.7,51,18.2
2020-06-24,24.1,50,20.4
2020-06-25,24.3,55,17.7
2020-06-26,25.1,54,19.4
2020-06-27,25.2,50,20.9
2020-06-28,25.7,49,20.6
2020-06-29,25.6,60,18.8
2020-06-30,25.6,64,20.0
2020-07-01,26.0,64,17.3
2020-07-02,26.8,62,17.4
2020-07-03,26.3,70,13.6
2020-07-04,24.2,76,11.9
2020-07-05,25.2,57,17.7
2020-07-06,25.1,57,19.1
2020-07-07,26.3,59,17.4
2020-07-08,25.3,61,18.6
2020-07-09,26.4,62,19.7
2020-07-10,26.9,51,18.4
2020-07-11,26.2,58,19.3
2020-07-12,27.0,65,15.3
2020-07-13,25.8,61,23.1
2020-07-14,24.4,45,18.7
2020-07-15,24.2,57,15.4
2020-07-16,23.8,62,15.6
2020-07-17,23.9,69,13.0
2020-07-18,24.1,53,15.6
2020-07-19,24.1,41,14.3
2020-07-20,24.7,52,24.1
2020-07-21,26.7,58,20.5
2020-07-22,27.8,49,21.4
2020-07-23,27.2,51,19.0
2020-07-24,26.4,63,21.8
2020-07-25,26.6,55,14.7
