date,temperature_avg,humidity_avg,wind_speed_max
2020-01-01,-0.2,88,21.9
2020-01-02,2.5,91,29.2
2020-01-03,2.6,85,29.4
2020-01-04,1.4,83,28.1
2020-01-05,-2.0,77,24.4
2020-01-06,-1.8,84,21.7
2020-01-07,1.8,95,20.1
2020-01-08,2.4,89,31.5
2020-01-09,2.6,90,28.1
2020-01-10,-0.1,94,20.3
2020-01-11,-1.0,93,23.3
2020-01-12,2.3,89,33.7
2020-01-13,1.5,94,25.3
2020-01-14,1.5,86,25.3
2020-01-15,4.1,88,36.3
2020-01-16,4.6,94,28.1
2020-01-17,4.3,87,24.4
2020-01-18,1.7,80,22.5
2020-01-19,3.3,83,29.9
2020-01-20,2.5,85,27.6
2020-01-21,4.0,76,37.5
2020-01-22,0.0,70,29.8
2020-01-23,-1.9,72,27.5
2020-01-24,1.4,90,28.9
2020-01-25,0.2,79,30.5
2020-01-26,-0.0,90,31.4
2020-01-27,-4.0,79,16.7
2020-01-28,-2.0,84,15.6
2020-01-29,-0.9,90,20.3
2020-01-30,-0.7,91,16.8
2020-01-31,-3.0,83,14.1
2020-02-01,-2.7,81,23.8
2020-02-02,2.1,96,23.1
2020-02-03,-0.4,85,33.4
2020-02-04,-4.2,69,28.3
2020-02-05,-4.6,78,26.2
2020-02-06,-4.2,74,27.0
2020-02-07,-6.1,81,22.5
2020-02-08,-2.7,91,13.7
2020-02-09,0.8,92,23.2
2020-02-10,1.5,84,34.9
2020-02-11,2.5,88,31.1
2020-02-12,1.0,88,17.8
2020-02-13,0.6,93,21.3
2020-02-14,0.3,92,19.7
2020-02-15,0.3,81,29.1
2020-02-16,1.6,88,30.6
2020-02-17,4.5,88,39.0
2020-02-18,4.5,80,35.9
2020-02-19,3.7,81,30.3
2020-02-20,1.4,93,20.0
2020-02-21,2.0,77,30.9
2020-02-22,2.4,86,39.1
2020-02-23,2.8,83,37.3
2020-02-24,1.2,80,33.5
2020-02-25,-1.2,75,28.5
2020-02-26,-2.5,77,21.5
2020-02-27,-3.9,77,23.1
2020-02-28,-3.7,78,20.2
2020-02-29,-2.9,73,23.6
2020-03-01,0.3,88,26.5
2020-03-02,2.6,86,26.1
2020-03-03,0.3,97,16.6
2020-03-04,1.8,95,27.7
2020-03-05,3.6,97,26.3
2020-03-06,1.9,87,20.1
2020-03-07,0.8,83,12.5
2020-03-08,0.9,83,10.9
2020-03-09,1.8,77,19.2
2020-03-10,3.4,77,22.5
2020-03-11,4.4,88,26.1
2020-03-12,3.6,91,30.0
2020-03-13,1.7,89,34.2
2020-03-14,-2.8,51,29.5
2020-03-15,-1.9,50,24.9
2020-03-16,1.3,77,31.2
2020-03-17,0.2,73,26.0
2020-03-18,4.1,88,26.1
2020-03-19,2.2,89,31.9
2020-03-20,0.2,74,16.5
2020-03-21,-2.7,57,17.5
2020-03-22,-3.0,61,10.8
