date,temperature_avg,humidity_avg,wind_speed_max
2020-01-01,-2.9,65,8.2
2020-01-02,-0.2,76,14.4
2020-01-03,-1.6,72,11.8
2020-01-04,-0.3,61,15.4
2020-01-05,-0.6,54,9.2
2020-01-06,1.0,69,16.0
2020-01-07,5.1,92,22.6
2020-01-08,2.8,87,29.8
2020-01-09,-2.6,73,16.4
2020-01-10,-2.4,73,10.0
2020-01-11,-1.2,73,13.0
2020-01-12,-2.2,69,14.6
2020-01-13,-3.8,63,18.7
2020-01-14,-3.4,59,9.8
2020-01-15,-3.8,61,13.1
2020-01-16,-3.2,52,11.4
2020-01-17,-2.0,51,9.6
2020-01-18,-1.4,60,12.6
2020-01-19,0.1,77,25.6
2020-01-20,-0.2,65,23.9
2020-01-21,-2.7,56,9.4
2020-01-22,1.2,64,9.5
2020-01-23,2.8,68,14.8
2020-01-24,1.0,81,9.1
2020-01-25,2.4,78,11.8
2020-01-26,3.1,69,22.7
2020-01-27,4.5,68,26.8
2020-01-28,5.1,74,14.9
2020-01-29,3.6,71,10.7
2020-01-30,3.1,74,8.9
2020-01-31,1.9,80,16.5
2020-02-01,0.6,82,13.3
2020-02-02,-0.6,68,10.9
2020-02-03,-1.8,56,19.3
2020-02-04,-2.0,61,22.6
2020-02-05,-8.1,32,24.2
2020-02-06,-6.9,30,8.9
2020-02-07,-3.0,50,13.0
2020-02-08,-1.2,63,23.2
2020-02-09,-2.4,65,18.2
2020-02-10,1.8,73,12.6
2020-02-11,3.3,63,12.6
2020-02-12,5.1,81,13.2
2020-02-13,4.5,90,9.0
2020-02-14,5.8,88,10.1
2020-02-15,7.6,82,15.9
2020-02-16,-0.4,74,28.8
2020-02-17,-5.7,54,20.8
2020-02-18,-4.5,50,16.2
2020-02-19,-0.4,69,10.8
2020-02-20,2.0,76,11.7
2020-02-21,4.4,80,13.8
2020-02-22,3.4,73,32.4
2020-02-23,0.3,65,16.5
2020-02-24,4.1,74,9.6
2020-02-25,5.3,85,25.6
2020-02-26,5.4,76,18.0
2020-02-27,4.7,69,11.8
2020-02-28,3.7,87,10.5
2020-02-29,6.0,80,10.4
2020-03-01,4.6,81,17.8
2020-03-02,2.4,67,17.9
2020-03-03,2.7,73,17.1
2020-03-04,1.7,69,30.4
2020-03-05,-0.2,62,16.0
2020-03-06,0.9,59,9.8
2020-03-07,4.5,59,11.7
2020-03-08,6.0,71,10.3
2020-03-09,8.0,65,13.0
2020-03-10,6.2,84,23.8
2020-03-11,2.4,53,20.6
2020-03-12,4.4,69,19.9
2020-03-13,4.0,52,20.9
2020-03-14,1.8,67,23.2
2020-03-15,3.1,59,32.9
2020-03-16,1.1,58,19.4
