date,temperature_avg,humidity_avg,wind_speed_max
2020-01-01,4.3,75,11.0
2020-01-02,9.5,84,10.0
2020-01-03,9.1,95,12.9
2020-01-04,9.1,89,13.5
2020-01-05,10.9,83,17.6
2020-01-06,16.4,85,20.4
2020-01-07,12.8,88,33.2
2020-01-08,5.3,70,26.4
2020-01-09,5.7,84,15.1
2020-01-10,8.0,88,17.6
2020-01-11,7.0,88,17.7
2020-01-12,4.7,76,19.9
2020-01-13,5.3,76,7.9
2020-01-14,5.0,78,19.7
2020-01-15,5.2,77,16.8
2020-01-16,6.6,86,18.9
2020-01-17,5.9,79,19.7
2020-01-18,4.4,72,11.7
2020-01-19,4.8,73,11.8
2020-01-20,4.5,83,13.7
2020-01-21,7.6,81,20.2
2020-01-22,9.2,92,12.6
2020-01-23,8.9,91,17.3
2020-01-24,8.5,85,22.8
2020-01-25,7.9,89,22.9
2020-01-26,8.9,89,24.9
2020-01-27,6.5,85,27.3
2020-01-28,4.5,78,17.3
2020-01-29,4.7,68,27.8
2020-01-30,2.9,69,24.8
2020-01-31,2.5,68,19.3
2020-02-01,4.2,75,9.9
2020-02-02,6.2,80,10.5
2020-02-03,7.1,85,18.8
2020-02-04,6.2,79,14.9
2020-02-05,5.5,82,25.3
2020-02-06,5.2,75,21.6
2020-02-07,6.0,83,16.7
2020-02-08,6.2,79,16.6
2020-02-09,5.4,80,13.7
2020-02-10,7.6,71,15.6
2020-02-11,10.3,90,20.0
2020-02-12,11.1,87,15.7
2020-02-13,11.6,90,21.7
2020-02-14,13.7,93,15.5
2020-02-15,9.7,91,29.4
2020-02-16,1.9,61,31.4
2020-02-17,2.7,52,33.1
2020-02-18,2.5,69,11.2
2020-02-19,5.7,74,16.7
2020-02-20,7.9,83,17.5
2020-02-21,10.6,81,21.2
2020-02-22,9.5,75,18.0
2020-02-23,8.4,71,18.4
2020-02-24,13.8,76,18.7
2020-02-25,16.4,80,19.7
2020-02-26,9.2,85,20.1
2020-02-27,8.0,82,17.8
2020-02-28,10.9,84,17.0
2020-02-29,9.7,86,10.5
2020-03-01,9.7,87,20.4
2020-03-02,8.0,74,19.1
2020-03-03,8.7,74,11.2
2020-03-04,8.1,71,21.8
2020-03-05,5.7,66,15.2
2020-03-06,8.1,76,21.3
2020-03-07,11.5,86,15.6
2020-03-08,11.0,83,20.9
2020-03-09,12.5,92,20.9
2020-03-10,9.8,77,31.6
2020-03-11,9.5,76,13.9
2020-03-12,11.7,81,31.7
2020-03-13,11.2,89,19.8
2020-03-14,9.5,68,17.7
2020-03-15,11.8,64,21.7
2020-03-16,10.7,65,19.6
2020-03-17,14.5,68,15.2
2020-03-18,15.7,71,15.9
2020-03-19,12.9,64,27.0
2020-03-20,11.8,66,25.8
2020-03-21,17.1,70,17.1
2020-03-22,14.6,81,22.5
2020-03-23,11.7,66,17.9
2020-03-24,12.6,71,18.0
2020-03-25,15.8,76,27.9
2020-03-26,19.0,90,18.3
2020-03-27,11.6,77,29.2
2020-03-28,7.2,72,26.7
2020-03-29,8.1,76,15.5
2020-03-30,10.9,86,18.1
2020-03-31,11.7,83,16.6
2020-04-01,11.6,78,20.9
2020-04-02,11.0,71,16.5
2020-04-03,11.8,72,13.6
2020-04-04,12.0,75,17.8
2020-04-05,9.6,70,17.1
2020-04-06,9.6,79,11.1
2020-04-07,11.2,75,9.3
2020-04-08,13.7,66,14.4
2020-04-09,13.7,78,18.5
2020-04-10,14.0,80,21.1
2020-04-11,11.4,86,22.7
2020-04-12,11.1,69,27.4
2020-04-13,11.9,64,23.0
2020-04-14,13.0,70,14.2
2020-04-15,16.6,62,17.0
2020-04-16,18.4,66,24.6
2020-04-17,17.7,71,23.8
2020-04-18,14.6,77,15.2
2020-04-19,14.7,82,31.1
2020-04-20,15.3,79,14.6
2020-04-21,12.7,72,19.5
2020-04-22,14.1,70,12.4
2020-04-23,13.8,58,19.5
2020-04-24,14.9,60,18.6
2020-04-25,17.9,60,22.9
2020-04-26,15.6,73,20.3
2020-04-27,14.0,66,26.1
2020-04-28,13.4,66,18.9
2020-04-29,18.1,71,19.7
2020-04-30,22.6,70,18.1
2020-05-01,22.0,79,17.2
2020-05-02,23.0,79,21.5
2020-05-03,25.9,71,19.4
2020-05-04,20.7,83,19.9
2020-05-05,19.6,88,19.2
2020-05-06,18.8,84,16.1
2020-05-07,20.0,79,22.9
2020-05-08,22.6,87,39.0
2020-05-09,21.4,81,17.9
2020-05-10,19.2,80,14.9
2020-05-11,20.7,76,22.0
2020-05-12,20.9,58,21.7
2020-05-13,20.3,58,18.4
2020-05-14,21.0,75,31.1
2020-05-15,23.6,84,23.0
2020-05-16,22.6,91,10.9
2020-05-17,24.3,86,13.8
2020-05-18,23.3,72,29.8
2020-05-19,20.5,57,17.8
2020-05-20,21.7,68,16.8
2020-05-21,21.6,70,24.2
2020-05-22,20.9,75,17.1
2020-05-23,22.1,79,20.7
2020-05-24,23.7,77,21.1
2020-05-25,21.9,81,15.2
2020-05-26,19.1,83,15.8
2020-05-27,20.5,76,13.1
2020-05-28,24.5,74,11.9
2020-05-29,22.1,78,15.5
2020-05-30,18.2,86,25.7
2020-05-31,22.1,82,16.3
2020-06-01,24.2,78,15.9
2020-06-02,25.4,76,16.5
2020-06-03,24.7,90,12.2
2020-06-04,25.1,84,14.4
2020-06-05,22.9,88,21.5
2020-06-06,22.7,85,21.3
2020-06-07,22.2,84,17.9
2020-06-08,23.2,84,22.5
2020-06-09,25.0,87,17.4
2020-06-10,25.2,90,10.9
2020-06-11,25.5,91,13.1
2020-06-12,27.3,87,17.4
2020-06-13,29.1,83,14.5
2020-06-14,28.3,86,13.4
2020-06-15,25.4,95,15.0
2020-06-16,23.5,87,22.8
2020-06-17,26.8,85,13.8
2020-06-18,27.1,78,26.4
2020-06-19,23.4,80,14.8
2020-06-20,22.2,85,13.0
2020-06-21,21.9,88,20.4
2020-06-22,23.4,87,21.2
2020-06-23,25.5,89,22.5
2020-06-24,25.9,85,17.9
2020-06-25,24.1,92,8.2
2020-06-26,25.8,88,16.6
2020-06-27,25.8,93,13.2
2020-06-28,25.1,94,16.0
2020-06-29,26.5,86,30.1
2020-06-30,23.7,77,13.1
2020-07-01,24.0,78,16.9
2020-07-02,23.8,86,21.6
2020-07-03,25.9,87,23.2
2020-07-04,23.4,85,13.8
2020-07-05,23.9,94,23.6
2020-07-06,25.5,94,27.6
2020-07-07,27.9,82,27.0
2020-07-08,26.5,87,9.7
2020-07-09,25.4,93,19.1
2020-07-10,25.2,87,17.5
