date,temperature_avg,humidity_avg,wind_speed_max
2020-01-01,26.2,83,22.6
2020-01-02,26.0,87,18.2
2020-01-03,26.3,86,17.9
2020-01-04,26.3,83,22.7
2020-01-05,26.5,81,20.9
2020-01-06,25.7,84,21.3
2020-01-07,25.4,88,22.2
2020-01-08,26.1,86,19.4
2020-01-09,26.1,86,20.8
2020-01-10,26.1,85,14.6
2020-01-11,26.1,87,10.9
2020-01-12,26.2,86,11.5
2020-01-13,26.0,84,19.0
2020-01-14,26.3,81,19.7
2020-01-15,26.2,84,18.4
2020-01-16,26.5,84,14.5
2020-01-17,26.6,81,16.1
2020-01-18,26.4,86,15.9
2020-01-19,26.6,86,16.9
2020-01-20,26.1,89,14.9
2020-01-21,25.8,89,21.7
2020-01-22,26.8,83,20.5
2020-01-23,26.4,86,16.1
2020-01-24,26.6,80,21.7
2020-01-25,26.6,78,15.6
2020-01-26,27.0,80,12.6
2020-01-27,26.7,85,12.0
2020-01-28,26.8,86,12.8
2020-01-29,25.5,92,15.2
2020-01-30,26.0,85,14.1
2020-01-31,26.5,82,21.9
2020-02-01,26.6,83,24.1
2020-02-02,26.1,83,26.2
2020-02-03,26.4,79,21.7
2020-02-04,26.1,80,15.5
2020-02-05,26.1,81,16.1
2020-02-06,26.4,81,19.8
2020-02-07,26.5,78,22.7
2020-02-08,26.3,76,14.2
2020-02-09,25.4,88,15.7
2020-02-10,25.2,92,12.6
2020-02-11,25.7,91,13.8
2020-02-12,26.2,89,14.2
2020-02-13,26.9,85,16.6
2020-02-14,26.9,83,19.4
2020-02-15,26.8,84,10.5
2020-02-16,27.1,85,6.2
2020-02-17,27.0,80,17.3
2020-02-18,25.3,90,14.6
2020-02-19,26.2,84,20.2
2020-02-20,26.2,84,26.4
2020-02-21,26.0,87,25.5
2020-02-22,26.0,84,26.4
2020-02-23,26.5,81,23.2
2020-02-24,26.2,84,25.0
2020-02-25,26.6,81,20.0
2020-02-26,26.8,81,20.7
2020-02-27,27.0,80,19.5
2020-02-28,27.0,80,19.5
2020-02-29,27.0,77,18.4
2020-03-01,27.0,77,18.7
2020-03-02,27.2,78,18.5
2020-03-03,27.3,81,20.3
2020-03-04,27.5,81,15.3
2020-03-05,26.7,86,12.5
2020-03-06,26.6,88,11.0
2020-03-07,26.9,87,14.2
2020-03-08,26.7,88,13.9
2020-03-09,27.0,86,7.1
2020-03-10,27.6,86,13.2
2020-03-11,27.6,86,13.9
2020-03-12,27.3,82,16.4
2020-03-13,27.2,83,15.3
2020-03-14,27.6,82,16.6
2020-03-15,28.2,80,18.7
2020-03-16,27.7,80,17.4
2020-03-17,27.6,73,22.5
2020-03-18,27.5,78,17.0
2020-03-19,27.1,79,16.7
2020-03-20,27.2,80,12.5
2020-03-21,26.8,84,12.6
2020-03-22,26.4,89,9.4
2020-03-23,26.2,90,10.1
2020-03-24,26.8,85,16.3
2020-03-25,27.3,84,12.3
2020-03-26,27.3,86,14.0
2020-03-27,27.3,86,13.3
2020-03-28,27.4,84,11.1
2020-03-29,27.7,81,14.5
2020-03-30,26.6,84,10.6
2020-03-31,27.5,81,10.0
2020-04-01,27.6,81,10.3
2020-04-02,27.4,87,8.0
2020-04-03,27.3,85,11.3
2020-04-04,27.5,86,13.6
2020-04-05,27.4,86,11.0
2020-04-06,26.3,90,7.9
2020-04-07,25.6,89,6.5
2020-04-08,26.6,89,10.8
2020-04-09,27.1,84,12.7
2020-04-10,26.9,81,12.0
2020-04-11,27.3,84,11.4
2020-04-12,27.4,86,11.2
2020-04-13,27.1,89,11.0
2020-04-14,27.3,83,15.1
2020-04-15,26.9,83,15.8
2020-04-16,27.3,84,12.0
2020-04-17,27.5,84,10.6
2020-04-18,27.5,83,13.0
2020-04-19,28.1,81,12.1
2020-04-20,28.3,81,12.4
2020-04-21,27.4,87,15.5
2020-04-22,27.6,85,9.7
2020-04-23,26.5,90,8.7
2020-04-24,26.6,91,10.0
2020-04-25,26.3,91,6.0
2020-04-26,26.0,92,9.1
2020-04-27,26.3,90,12.0
2020-04-28,26.6,89,9.9
2020-04-29,27.0,87,7.4
2020-04-30,26.2,92,7.3
2020-05-01,25.8,92,17.3
2020-05-02,26.6,88,9.9
2020-05-03,26.3,90,8.2
2020-05-04,26.7,92,6.9
2020-05-05,27.0,89,8.4
2020-05-06,27.2,88,9.7
2020-05-07,28.2,86,8.8
2020-05-08,27.6,87,14.2
2020-05-09,28.4,83,10.9
2020-05-10,27.9,86,12.8
2020-05-11,27.5,87,13.3
2020-05-12,27.3,90,11.9
2020-05-13,25.7,91,10.6
2020-05-14,27.1,90,10.0
2020-05-15,27.9,86,11.7
2020-05-16,27.9,88,12.3
2020-05-17,27.3,90,12.2
2020-05-18,27.5,87,12.2
2020-05-19,27.9,88,9.7
2020-05-20,27.4,88,9.5
2020-05-21,28.2,85,6.7
2020-05-22,26.9,89,12.3
2020-05-23,25.9,92,9.8
2020-05-24,27.4,86,8.7
2020-05-25,27.8,88,10.2
