date,temperature_avg,humidity_avg,wind_speed_max
2020-01-01,21.4,69,19.6
2020-01-02,21.9,73,19.5
2020-01-03,23.5,81,26.3
2020-01-04,29.2,59,41.8
2020-01-05,21.7,66,34.6
2020-01-06,21.0,74,15.9
2020-01-07,24.0,79,20.3
2020-01-08,22.3,81,24.2
2020-01-09,21.9,81,21.6
2020-01-10,24.5,77,30.4
2020-01-11,21.0,70,39.6
2020-01-12,20.1,69,21.9
2020-01-13,21.3,67,20.1
2020-01-14,21.9,79,18.8
2020-01-15,22.3,80,21.7
2020-01-16,23.6,81,14.3
2020-01-17,20.0,92,31.3
2020-01-18,19.9,91,21.4
2020-01-19,20.2,88,15.9
2020-01-20,22.3,86,19.2
2020-01-21,21.9,71,17.7
2020-01-22,23.2,79,26.4
2020-01-23,29.8,47,26.4
2020-01-24,24.0,72,20.6
2020-01-25,24.2,84,17.8
2020-01-26,26.9,79,22.7
2020-01-27,24.4,83,22.4
2020-01-28,24.8,85,24.2
2020-01-29,23.5,80,19.6
2020-01-30,23.6,81,23.0
2020-01-31,25.3,82,30.2
2020-02-01,29.0,68,27.9
2020-02-02,25.3,83,25.5
2020-02-03,23.6,79,38.9
2020-02-04,19.8,61,30.0
2020-02-05,21.1,69,21.4
2020-02-06,21.5,76,20.9
2020-02-07,20.5,87,24.9
2020-02-08,20.5,87,30.4
2020-02-09,20.7,90,48.8
2020-02-10,22.8,87,28.1
2020-02-11,23.6,85,18.9
2020-02-12,23.0,89,18.1
2020-02-13,22.7,88,17.4
2020-02-14,21.7,77,19.7
2020-02-15,20.6,85,12.0
2020-02-16,21.6,84,20.3
2020-02-17,21.6,89,13.6
2020-02-18,24.2,82,24.0
2020-02-19,22.4,60,21.7
2020-02-20,19.0,74,19.3
2020-02-21,20.1,77,14.5
2020-02-22,20.4,77,14.9
2020-02-23,21.3,76,15.8
2020-02-24,21.4,79,18.1
2020-02-25,22.5,79,22.7
2020-02-26,24.0,71,40.6
2020-02-27,21.0,71,19.7
2020-02-28,19.7,68,21.7
2020-02-29,20.9,76,21.4
2020-03-01,22.5,82,23.4
2020-03-02,23.6,61,34.9
2020-03-03,20.2,78,18.8
2020-03-04,21.3,84,22.7
2020-03-05,21.4,89,23.7
2020-03-06,21.4,86,23.9
2020-03-07,19.7,80,22.8
2020-03-08,18.5,81,18.4
2020-03-09,18.2,81,20.2
2020-03-10,18.5,80,13.7
2020-03-11,19.0,78,16.1
2020-03-12,19.1,78,20.0
2020-03-13,18.5,79,18.6
2020-03-14,16.5,80,39.8
2020-03-15,16.8,76,24.3
2020-03-16,18.3,79,24.1
2020-03-17,18.0,84,13.6
2020-03-18,18.6,81,18.7
2020-03-19,21.0,73,15.3
2020-03-20,24.3,60,20.4
2020-03-21,19.9,82,20.7
2020-03-22,20.8,76,26.0
2020-03-23,18.5,76,26.0
2020-03-24,18.8,81,16.1
2020-03-25,19.1,83,21.7
2020-03-26,18.4,80,28.8
2020-03-27,18.9,72,15.6
2020-03-28,18.6,80,15.2
2020-03-29,20.0,86,19.9
2020-03-30,20.0,86,15.6
2020-03-31,19.4,87,14.8
2020-04-01,20.3,87,20.2
2020-04-02,20.5,87,16.2
2020-04-03,20.2,85,22.0
2020-04-04,20.5,64,30.9
2020-04-05,16.7,58,19.3
2020-04-06,16.7,71,18.4
2020-04-07,16.9,79,18.4
2020-04-08,16.7,85,17.7
2020-04-09,17.7,84,14.4
2020-04-10,17.3,91,17.1
2020-04-11,17.9,59,31.6
2020-04-12,14.3,62,21.7
2020-04-13,14.4,82,12.0
2020-04-14,16.2,84,11.2
2020-04-15,18.3,80,18.4
2020-04-16,21.7,59,20.5
2020-04-17,19.1,57,24.6
2020-04-18,15.5,65,25.1
2020-04-19,14.7,87,10.7
2020-04-20,16.0,75,13.9
2020-04-21,16.6,70,16.5
2020-04-22,17.2,65,17.6
2020-04-23,16.1,67,14.5
2020-04-24,18.3,66,13.9
2020-04-25,17.2,75,18.7
2020-04-26,18.5,59,23.4
2020-04-27,17.3,82,12.8
2020-04-28,19.6,75,19.6
2020-04-29,20.0,79,17.1
2020-04-30,16.7,78,21.8
2020-05-01,12.6,55,33.2
2020-05-02,13.0,53,30.2
2020-05-03,13.1,57,25.0
2020-05-04,12.5,70,22.7
2020-05-05,14.5,81,19.1
2020-05-06,14.1,81,13.9
2020-05-07,15.3,72,17.0
2020-05-08,18.6,60,17.1
2020-05-09,18.4,60,24.4
2020-05-10,12.4,53,32.0
2020-05-11,11.1,64,16.3
2020-05-12,11.9,76,15.0
2020-05-13,11.9,72,12.6
2020-05-14,13.0,84,24.5
2020-05-15,12.9,84,21.7
2020-05-16,14.0,80,11.2
2020-05-17,13.3,83,9.8
2020-05-18,14.0,85,8.9
2020-05-19,14.7,87,11.4
2020-05-20,16.5,74,20.1
2020-05-21,14.6,83,27.6
2020-05-22,12.1,70,35.8
2020-05-23,13.0,70,27.0
2020-05-24,13.8,69,30.8
2020-05-25,13.5,82,30.9
2020-05-26,15.0,82,29.4
2020-05-27,13.6,87,14.5
2020-05-28,13.2,85,12.6
2020-05-29,13.0,89,11.3
2020-05-30,13.5,88,13.8
2020-05-31,14.6,80,15.0
2020-06-01,14.5,61,25.3
2020-06-02,10.0,67,28.1
2020-06-03,12.9,59,28.5
2020-06-04,11.8,64,26.2
2020-06-05,9.3,84,12.0
2020-06-06,10.4,81,15.0
2020-06-07,10.1,91,15.1
2020-06-08,12.3,80,24.5
2020-06-09,13.8,85,13.6
2020-06-10,13.6,93,14.2
2020-06-11,13.9,87,19.8
2020-06-12,13.3,90,13.9
2020-06-13,13.9,92,14.6
2020-06-14,14.0,78,21.3
2020-06-15,11.4,78,11.9
2020-06-16,12.6,77,11.0
2020-06-17,12.6,79,21.1
2020-06-18,13.1,76,10.6
2020-06-19,11.8,87,12.5
2020-06-20,12.5,83,14.9
2020-06-21,12.3,83,16.6
2020-06-22,9.9,73,18.4
2020-06-23,9.3,70,20.9
2020-06-24,11.6,71,22.7
2020-06-25,11.5,72,17.9
2020-06-26,10.7,77,16.0
2020-06-27,11.4,81,17.7
2020-06-28,11.0,79,18.4
2020-06-29,11.0,88,12.9
2020-06-30,10.8,88,10.2
2020-07-01,12.0,73,17.1
2020-07-02,15.6,61,20.6
2020-07-03,11.6,66,18.4
2020-07-04,9.6,69,23.1
2020-07-05,11.5,66,26.6
2020-07-06,10.8,79,14.4
2020-07-07,10.9,81,17.0
2020-07-08,11.8,85,10.8
2020-07-09,10.8,90,8.9
2020-07-10,11.7,92,11.1
2020-07-11,11.3,94,7.7
2020-07-12,11.0,89,11.3
2020-07-13,10.5,87,15.5
2020-07-14,12.1,84,33.7
2020-07-15,12.2,71,29.1
2020-07-16,12.0,65,24.8
2020-07-17,12.4,72,23.2
2020-07-18,11.9,81,12.7
2020-07-19,11.8,73,18.2
2020-07-20,11.4,59,22.8
2020-07-21,10.3,68,19.8
2020-07-22,10.4,77,11.6
2020-07-23,9.8,84,11.2
2020-07-24,10.9,88,11.9
2020-07-25,11.3,91,10.9
2020-07-26,12.8,94,45.2
2020-07-27,13.9,90,28.3
2020-07-28,14.1,82,28.0
2020-07-29,13.5,74,14.3
2020-07-30,12.5,74,24.4
2020-07-31,11.5,74,17.8
2020-08-01,10.3,83,12.1
2020-08-02,10.4,79,12.6
2020-08-03,10.6,80,12.0
2020-08-04,12.6,59,24.3
2020-08-05,9.1,54,25.8
2020-08-06,9.2,61,19.9
2020-08-07,11.1,89,18.8
2020-08-08,11.8,92,16.2
2020-08-09,10.2,81,31.6
2020-08-10,12.4,83,45.3
2020-08-11,11.9,78,14.0
2020-08-12,12.5,83,12.8
2020-08-13,13.3,81,12.6
2020-08-14,13.1,90,9.9
2020-08-15,13.8,75,22.0
2020-08-16,13.9,61,21.7
2020-08-17,13.1,63,22.0
2020-08-18,13.5,64,17.1
2020-08-19,13.4,58,36.9
2020-08-20,12.2,55,27.8
2020-08-21,12.0,57,25.0
2020-08-22,9.9,58,27.8
2020-08-23,10.5,55,34.6
2020-08-24,10.6,56,23.7
2020-08-25,9.2,70,15.6
2020-08-26,9.3,72,14.7
2020-08-27,10.8,61,14.6
2020-08-28,12.2,56,20.8
2020-08-29,11.7,70,16.3
2020-08-30,14.4,64,13.6
2020-08-31,14.8,62,28.6
2020-09-01,12.5,70,16.3
2020-09-02,14.8,63,16.5
2020-09-03,21.2,45,26.6
2020-09-04,17.5,70,22.1
2020-09-05,14.7,75,18.4
2020-09-06,13.2,78,13.4
2020-09-07,14.8,73,20.9
2020-09-08,15.6,73,19.5
2020-09-09,13.6,89,28.6
2020-09-10,14.0,65,22.0
2020-09-11,14.1,73,16.6
2020-09-12,14.7,78,20.7
2020-09-13,16.1,66,16.8
2020-09-14,14.1,82,16.1
2020-09-15,15.5,82,22.1
2020-09-16,17.1,77,19.4
2020-09-17,18.4,68,36.0
2020-09-18,15.6,87,15.3
2020-09-19,17.4,87,27.3
2020-09-20,16.8,85,26.1
2020-09-21,20.8,73,21.6
2020-09-22,20.3,52,23.2
2020-09-23,15.7,56,19.5
2020-09-24,14.1,53,22.7
2020-09-25,14.3,54,30.9
2020-09-26,11.4,51,32.2
2020-09-27,11.9,62,21.4
2020-09-28,12.2,71,18.7
2020-09-29,13.9,74,18.7
2020-09-30,15.0,73,21.3
2020-10-01,16.7,71,19.3
2020-10-02,16.4,72,19.5
2020-10-03,17.1,73,27.6
2020-10-04,19.2,72,25.8
2020-10-05,21.9,57,33.1
2020-10-06,16.6,82,29.9
2020-10-07,17.3,88,13.3
2020-10-08,19.9,73,15.1
2020-10-09,16.6,55,26.2
2020-10-10,16.9,52,17.9
2020-10-11,17.6,60,22.9
2020-10-12,18.5,80,19.7
