date,temperature_avg,humidity_avg,wind_speed_max
2020-01-01,3.9,61,41.4
2020-01-02,5.2,70,22.0
2020-01-03,4.0,78,16.5
2020-01-04,6.1,64,28.9
2020-01-05,3.9,65,32.1
2020-01-06,5.7,57,25.3
2020-01-07,4.5,79,16.4
2020-01-08,4.0,96,27.4
2020-01-09,8.5,61,37.5
2020-01-10,6.3,74,23.0
2020-01-11,5.3,81,17.2
2020-01-12,4.6,84,14.3
2020-01-13,6.2,82,17.4
2020-01-14,6.8,80,17.7
2020-01-15,6.0,83,30.1
2020-01-16,4.9,62,23.2
2020-01-17,5.0,73,17.9
2020-01-18,2.9,82,26.1
2020-01-19,5.1,72,20.3
2020-01-20,6.0,73,16.3
2020-01-21,5.1,59,46.0
2020-01-22,2.6,74,26.1
2020-01-23,4.2,87,19.8
2020-01-24,7.6,82,37.1
2020-01-25,5.5,63,36.4
2020-01-26,3.3,79,12.8
2020-01-27,3.6,78,23.7
2020-01-28,4.1,92,31.7
2020-01-29,11.1,78,53.9
2020-01-30,10.1,70,27.4
2020-01-31,6.3,55,47.4
2020-02-01,5.4,55,31.3
2020-02-02,6.5,60,28.4
2020-02-03,6.8,74,26.1
2020-02-04,6.3,66,32.6
2020-02-05,5.5,68,39.2
2020-02-06,0.7,46,52.2
2020-02-07,0.2,64,21.6
2020-02-08,3.5,63,27.8
2020-02-09,2.0,49,42.8
2020-02-10,2.2,66,20.7
2020-02-11,4.0,61,32.4
2020-02-12,5.8,73,29.4
2020-02-13,9.6,79,22.8
2020-02-14,10.8,80,16.6
2020-02-15,10.7,76,17.8
2020-02-16,8.2,94,19.9
2020-02-17,9.9,86,20.7
2020-02-18,5.5,60,24.9
2020-02-19,6.0,58,27.0
2020-02-20,6.6,72,15.9
2020-02-21,8.0,73,19.7
2020-02-22,10.4,81,46.1
2020-02-23,8.6,53,35.8
2020-02-24,7.4,63,17.2
2020-02-25,8.9,73,19.2
2020-02-26,7.7,85,22.1
2020-02-27,5.3,58,44.9
2020-02-28,4.9,60,22.0
2020-02-29,7.1,74,17.8
2020-03-01,10.3,73,22.0
2020-03-02,6.9,85,24.9
2020-03-03,9.5,69,31.6
2020-03-04,7.8,84,23.4
2020-03-05,7.5,58,57.5
2020-03-06,7.0,48,28.4
2020-03-07,6.4,70,19.4
2020-03-08,7.1,87,29.0
2020-03-09,11.7,82,29.3
2020-03-10,13.8,94,40.5
2020-03-11,13.6,70,36.7
2020-03-12,9.1,59,32.7
2020-03-13,10.3,75,20.1
2020-03-14,5.0,88,26.6
2020-03-15,5.4,72,18.4
2020-03-16,5.3,63,57.7
2020-03-17,5.5,60,27.4
2020-03-18,9.5,68,18.5
2020-03-19,11.7,74,41.9
2020-03-20,12.7,58,37.5
2020-03-21,11.2,64,27.0
2020-03-22,13.5,67,41.8
2020-03-23,8.8,66,31.1
2020-03-24,6.7,53,42.4
2020-03-25,7.8,55,31.0
2020-03-26,10.2,64,20.6
2020-03-27,13.4,81,50.3
2020-03-28,15.6,80,48.5
2020-03-29,3.1,94,32.3
2020-03-30,6.5,78,15.9
2020-03-31,8.9,81,14.6
2020-04-01,11.0,90,29.8
2020-04-02,12.4,49,53.5
2020-04-03,10.7,60,27.8
2020-04-04,13.2,72,39.9
2020-04-05,8.7,74,25.3
2020-04-06,9.9,58,24.3
2020-04-07,9.9,60,22.4
2020-04-08,11.5,74,19.8
2020-04-09,11.7,64,34.2
2020-04-10,9.4,59,39.1
2020-04-11,10.0,55,38.5
2020-04-12,9.8,79,20.6
2020-04-13,8.6,87,52.1
2020-04-14,10.0,56,45.4
2020-04-15,11.2,63,36.9
2020-04-16,10.8,73,26.2
2020-04-17,11.0,71,17.1
2020-04-18,13.4,84,56.4
2020-04-19,13.3,67,42.5
2020-04-20,9.4,86,24.9
2020-04-21,12.5,85,16.5
2020-04-22,12.2,71,37.7
2020-04-23,10.8,60,23.2
2020-04-24,10.5,65,34.9
2020-04-25,11.0,66,37.5
2020-04-26,16.5,61,45.3
2020-04-27,12.5,76,27.4
2020-04-28,11.9,81,14.4
2020-04-29,14.0,75,29.0
2020-04-30,15.8,74,31.0
2020-05-01,18.4,74,33.8
2020-05-02,18.7,78,23.8
2020-05-03,18.9,78,47.7
2020-05-04,18.2,83,34.0
2020-05-05,19.9,76,28.0
2020-05-06,17.2,84,20.3
2020-05-07,15.5,63,40.0
2020-05-08,14.3,60,29.8
2020-05-09,16.5,71,35.6
2020-05-10,20.6,81,46.9
2020-05-11,22.1,79,30.7
2020-05-12,20.1,78,29.8
2020-05-13,20.2,65,33.6
2020-05-14,18.2,53,32.0
2020-05-15,19.0,63,33.3
2020-05-16,18.0,83,32.0
