date,temperature_avg,humidity_avg,wind_speed_max
2020-01-01,-0.7,67,23.7
2020-01-02,4.2,68,24.7
2020-01-03,4.7,84,13.0
2020-01-04,1.5,74,13.1
2020-01-05,0.4,71,19.1
2020-01-06,1.4,68,31.6
2020-01-07,0.3,71,18.2
2020-01-08,-3.5,61,32.1
2020-01-09,-5.0,60,21.3
2020-01-10,5.0,83,31.1
2020-01-11,6.0,93,30.0
2020-01-12,-1.6,72,27.9
2020-01-13,-0.7,85,14.4
2020-01-14,1.0,89,21.8
2020-01-15,2.3,80,17.9
2020-01-16,-0.7,74,29.5
2020-01-17,-9.6,55,21.0
2020-01-18,-2.6,79,28.0
2020-01-19,-3.6,74,26.4
2020-01-20,-10.2,69,17.1
2020-01-21,-5.3,75,19.2
2020-01-22,-3.7,77,20.0
2020-01-23,-2.7,79,11.2
2020-01-24,0.7,85,24.0
2020-01-25,2.9,94,27.1
2020-01-26,1.7,91,22.6
2020-01-27,1.3,76,21.3
2020-01-28,0.3,73,14.9
2020-01-29,-3.3,66,13.0
2020-01-30,-3.4,73,15.0
2020-01-31,-1.9,76,10.7
2020-02-01,-1.4,80,17.2
2020-02-02,0.2,90,20.4
2020-02-03,3.0,75,19.8
2020-02-04,1.4,68,18.0
2020-02-05,-4.0,55,24.0
2020-02-06,-3.4,76,20.0
2020-02-07,-5.0,73,30.5
2020-02-08,-10.0,65,13.8
2020-02-09,-2.4,82,19.9
2020-02-10,0.8,83,17.1
2020-02-11,-1.1,76,18.0
2020-02-12,-1.0,70,21.7
2020-02-13,-3.1,78,24.8
2020-02-14,-14.1,60,16.4
2020-02-15,-5.5,58,28.0
2020-02-16,0.8,67,25.8
2020-02-17,-3.4,70,18.8
2020-02-18,2.1,80,32.9
2020-02-19,-2.3,54,21.9
2020-02-20,-6.3,53,17.2
2020-02-21,-4.4,50,25.0
2020-02-22,0.6,47,26.8
2020-02-23,3.6,58,25.0
2020-02-24,4.7,69,23.5
2020-02-25,2.2,77,15.9
2020-02-26,0.1,80,20.3
2020-02-27,-4.1,72,37.5
2020-02-28,-5.6,70,36.3
2020-02-29,-8.7,68,21.4
2020-03-01,-4.9,72,16.8
2020-03-02,4.2,84,25.7
2020-03-03,2.0,93,17.8
2020-03-04,2.6,69,29.5
2020-03-05,0.5,70,17.6
2020-03-06,0.9,73,31.0
2020-03-07,-1.8,66,18.6
2020-03-08,5.6,53,27.6
2020-03-09,11.2,52,28.8
2020-03-10,7.3,75,29.6
2020-03-11,-0.3,77,18.8
2020-03-12,2.1,79,17.7
2020-03-13,6.0,63,41.8
2020-03-14,2.3,59,23.4
2020-03-15,-0.9,60,17.0
2020-03-16,-0.2,59,20.9
2020-03-17,3.9,69,25.9
2020-03-18,0.6,65,21.5
2020-03-19,4.2,82,18.7
2020-03-20,8.6,78,40.5
2020-03-21,-3.2,53,27.9
2020-03-22,-2.1,58,24.6
2020-03-23,1.7,92,18.1
2020-03-24,2.1,81,12.4
2020-03-25,3.6,83,15.1
2020-03-26,6.7,81,21.6
2020-03-27,3.6,81,13.0
2020-03-28,4.3,86,26.6
2020-03-29,9.4,80,34.1
2020-03-30,7.5,75,24.2
2020-03-31,5.1,87,22.5
2020-04-01,5.5,53,17.9
2020-04-02,7.6,46,23.1
2020-04-03,6.4,72,23.5
2020-04-04,7.2,85,12.3
2020-04-05,8.0,73,20.2
2020-04-06,6.5,61,17.7
2020-04-07,7.4,60,17.0
2020-04-08,9.1,70,24.5
2020-04-09,6.2,62,34.6
2020-04-10,3.5,54,37.0
2020-04-11,3.8,54,24.2
2020-04-12,6.8,68,16.6
2020-04-13,9.5,75,41.3
2020-04-14,3.5,48,28.8
2020-04-15,1.1,50,26.3
2020-04-16,0.7,49,28.6
2020-04-17,1.8,63,27.5
2020-04-18,3.9,66,25.5
2020-04-19,8.1,58,29.5
2020-04-20,2.1,62,18.7
2020-04-21,3.7,55,37.2
2020-04-22,1.7,44,27.7
2020-04-23,1.6,51,21.1
2020-04-24,5.9,54,14.8
2020-04-25,6.3,55,17.9
2020-04-26,7.8,61,26.1
2020-04-27,8.1,58,19.6
2020-04-28,7.1,70,21.2
2020-04-29,9.1,77,27.9
2020-04-30,10.8,94,22.9
2020-05-01,11.6,73,21.9
2020-05-02,10.8,66,18.9
2020-05-03,14.4,61,25.5
2020-05-04,7.9,56,26.1
2020-05-05,5.3,58,18.1
2020-05-06,7.4,57,13.0
2020-05-07,8.0,44,24.2
2020-05-08,2.4,47,27.1
2020-05-09,2.5,54,36.5
2020-05-10,4.8,70,15.3
2020-05-11,4.9,71,25.1
2020-05-12,4.4,48,29.5
2020-05-13,5.6,54,21.4
2020-05-14,6.7,70,12.5
2020-05-15,13.1,90,25.9
2020-05-16,11.4,81,16.0
2020-05-17,10.5,77,23.2
2020-05-18,11.2,86,31.5
2020-05-19,11.8,53,29.8
2020-05-20,12.1,62,20.1
2020-05-21,12.6,55,11.8
2020-05-22,14.7,66,12.4
2020-05-23,17.0,76,14.7
2020-05-24,16.5,82,15.3
2020-05-25,22.2,82,19.9
2020-05-26,20.7,83,10.3
2020-05-27,19.9,81,12.2
2020-05-28,18.9,88,13.0
2020-05-29,19.8,79,24.7
2020-05-30,14.7,71,32.9
2020-05-31,11.6,59,22.1
2020-06-01,15.7,52,20.8
2020-06-02,18.3,71,18.3
2020-06-03,20.8,76,20.4
2020-06-04,22.0,62,26.8
2020-06-05,21.2,79,20.5
2020-06-06,20.1,54,24.9
2020-06-07,16.2,57,19.4
2020-06-08,16.1,63,16.6
2020-06-09,21.7,56,15.8
2020-06-10,23.4,72,27.9
2020-06-11,20.9,61,31.2
2020-06-12,15.8,52,25.8
2020-06-13,13.5,61,16.1
2020-06-14,14.0,61,17.9
2020-06-15,15.3,57,17.0
2020-06-16,16.6,57,14.7
2020-06-17,18.1,61,11.1
2020-06-18,19.8,62,13.7
2020-06-19,22.2,66,12.8
2020-06-20,23.3,71,13.2
2020-06-21,23.6,73,17.1
2020-06-22,23.3,82,15.3
2020-06-23,22.2,85,29.2
2020-06-24,19.3,56,29.3
2020-06-25,20.1,58,18.8
2020-06-26,22.8,52,19.5
2020-06-27,24.6,67,21.7
2020-06-28,23.6,62,18.0
2020-06-29,24.6,57,19.7
2020-06-30,22.9,69,15.6
2020-07-01,23.5,70,14.5
2020-07-02,27.6,47,18.7
2020-07-03,27.0,56,18.4
2020-07-04,25.4,47,21.2
2020-07-05,25.1,42,17.6
2020-07-06,24.2,63,14.6
2020-07-07,26.4,59,18.4
2020-07-08,27.6,65,16.5
2020-07-09,27.3,60,14.8
2020-07-10,26.8,73,22.7
2020-07-11,24.5,79,23.4
2020-07-12,23.1,66,19.2
2020-07-13,21.6,68,16.4
2020-07-14,22.0,68,16.6
2020-07-15,23.1,74,17.3
2020-07-16,23.9,84,16.7
2020-07-17,25.1,69,17.7
2020-07-18,26.6,61,22.6
2020-07-19,27.1,73,29.8
2020-07-20,25.4,60,26.8
2020-07-21,21.4,72,15.6
2020-07-22,23.9,83,24.3
2020-07-23,23.1,74,18.4
2020-07-24,22.4,73,16.2
2020-07-25,23.7,65,16.3
2020-07-26,27.6,58,23.0
2020-07-27,28.5,62,22.7
2020-07-28,24.7,59,19.4
2020-07-29,24.3,62,18.4
2020-07-30,22.9,60,16.8
2020-07-31,23.2,66,14.6
2020-08-01,23.7,66,20.6
2020-08-02,23.2,83,32.4
2020-08-03,21.6,82,23.5
2020-08-04,21.1,86,15.0
2020-08-05,19.4,64,24.2
2020-08-06,18.9,67,14.8
2020-08-07,20.2,69,11.3
2020-08-08,21.8,68,21.4
2020-08-09,24.8,65,21.4
2020-08-10,26.7,72,21.6
2020-08-11,25.6,64,23.1
2020-08-12,22.7,57,20.2
2020-08-13,23.9,60,12.2
2020-08-14,23.9,59,18.0
2020-08-15,22.8,71,17.3
2020-08-16,22.3,77,14.7
